Point	Ba_at	Zr_at	Y_at	Co_at	Fe_at
1	0.47141051	0.19494423	0.0687868	0.248364	0.016494453
2	0.4682034	0.18690817	0.069128528	0.26085654	0.014903381
3	0.47002813	0.17922504	0.064877182	0.27267069	0.013198961
4	0.47080287	0.17157856	0.059344318	0.28541249	0.012861768
5	0.46990025	0.16388652	0.055269312	0.29945117	0.011492769
6	0.47090539	0.15455936	0.051174644	0.31346792	0.009892677
7	0.47308645	0.14696175	0.045169476	0.32648686	0.0082954867
8	0.47437969	0.13904941	0.041280013	0.33752429	0.0077666021
9	0.47464186	0.13184583	0.038369048	0.34724557	0.0078976685
10	0.45960882	0.13580675	0.039001096	0.36235818	0.0032251303
11	0.46605778	0.12000073	0.025347065	0.38386676	0.0047276672
12	0.46776184	0.19648953	0.071326621	0.24650212	0.017919889
13	0.46484569	0.18888272	0.070987128	0.25882831	0.016456138
14	0.46663821	0.18110342	0.066563927	0.27091512	0.014779317
15	0.4677833	0.17294692	0.061128598	0.28378484	0.014356366
16	0.46688604	0.1652817	0.057105042	0.29767931	0.013047917
17	0.46805665	0.15581387	0.052602068	0.31197494	0.011552438
18	0.47014391	0.14773178	0.04682323	0.32536483	0.0099362358
19	0.47127798	0.14015077	0.042741593	0.33648753	0.0093421107
20	0.47179982	0.13262616	0.039538857	0.3466365	0.0093986588
21	0.46135652	0.13490519	0.0384674	0.36126888	0.0040019844
22	0.46686664	0.12012122	0.026018083	0.38114452	0.0058495216
23	0.4646641	0.20024054	0.074763894	0.24292086	0.01741061
24	0.46240413	0.19352855	0.072728954	0.25510851	0.016229849
25	0.46415672	0.18533826	0.067781746	0.26813909	0.014584199
26	0.46624479	0.17573696	0.062467467	0.28161141	0.013939367
27	0.46534091	0.16796814	0.058482099	0.29545695	0.012751907
28	0.46694753	0.15794162	0.05286748	0.31076092	0.011482448
29	0.46884871	0.14847967	0.047521178	0.32536718	0.0097832661
30	0.46961358	0.14155138	0.042872783	0.33694795	0.009014301
31	0.4707903	0.13306431	0.038876005	0.34838191	0.0088874586
32	0.46310425	0.13400364	0.037933704	0.36017957	0.0047788383
33	0.46767551	0.12024172	0.026689103	0.37842232	0.0069713756
34	0.47178483	0.20787223	0.075399086	0.23782144	0.0071224077
35	0.47074324	0.202637	0.069816105	0.25034696	0.0064567039
36	0.47250685	0.19319242	0.063555092	0.26595551	0.0047901347
37	0.4766129	0.18017425	0.058217134	0.2813324	0.0036633271
38	0.47565341	0.17179294	0.054097228	0.29579487	0.00266157
39	0.47822189	0.16012013	0.045953676	0.31391889	0.0017854166
40	0.47983921	0.14739467	0.041205302	0.33173037	-0.00016954838
41	0.4799048	0.14142247	0.035166278	0.34483951	-0.0013330516
42	0.48246658	0.13056812	0.029366734	0.3594391	-0.001840536
43	0.46496844	0.13304198	0.037364427	0.35901767	0.0056074825
44	0.46853828	0.12037023	0.027404856	0.37551859	0.0081680203
45	0.47008678	0.20782304	0.076177567	0.23758514	0.008327473
46	0.46905166	0.20262054	0.07062947	0.2500324	0.0076659275
47	0.47080424	0.19323495	0.064407572	0.26554343	0.0060097715
48	0.47488466	0.18029812	0.059102967	0.28082424	0.0048900037
49	0.47393116	0.17196919	0.055008806	0.29519632	0.0038945053
50	0.47648361	0.16036929	0.046916127	0.31320715	0.0030238261
51	0.47809082	0.14772333	0.042197425	0.33090734	0.0010810754
52	0.478156	0.14178845	0.036196131	0.34393457	-7.5158452e-05
53	0.48070174	0.13100192	0.030432822	0.35844296	-0.00057947222
54	0.46671617	0.13214041	0.036830731	0.35792837	0.0063843364
55	0.46934715	0.12049072	0.028075876	0.37279639	0.0092898747
56	0.468514	0.20777749	0.076898612	0.23736627	0.0094436249
57	0.46748492	0.20260528	0.071382828	0.24974105	0.0087859323
58	0.46922731	0.19327435	0.065197162	0.26516175	0.0071394201
59	0.47328395	0.18041284	0.059923444	0.28035361	0.0060261735
60	0.47233602	0.17213242	0.055853121	0.29464197	0.0050364719
61	0.47487357	0.16060008	0.047807567	0.31254792	0.004170863
62	0.47647142	0.14802775	0.043116346	0.33014503	0.0022394252
63	0.47653624	0.14212742	0.037149999	0.34309641	0.0010899242
64	0.47906718	0.13140371	0.031420249	0.35752031	0.00058854721
65	0.46846387	0.13123886	0.036297034	0.35683906	0.0071611903
66	0.47015601	0.12061121	0.028746895	0.37007415	0.010411728
67	0.46786118	0.21377686	0.077542789	0.22938387	0.011435325
68	0.46509242	0.20857263	0.075999282	0.24089201	0.0094436742
69	0.46708649	0.1990997	0.068583697	0.25608477	0.0091453129
70	0.46778142	0.18565504	0.066334061	0.27237001	0.0078594554
71	0.4692103	0.17835425	0.058221195	0.28759617	0.0066180727
72	0.47223541	0.16705646	0.050963536	0.30501118	0.0047334163
73	0.47511661	0.15503043	0.046064977	0.32022336	0.0035646192
74	0.47766325	0.14549474	0.037787873	0.33626804	0.0027860871
75	0.47800481	0.13437024	0.035492506	0.35005888	0.0020735506
