Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	ASR	Temp_C
1	0	0	0.47688219	0.12165565	0.028610701	0.21337107	0.15948039	208589.19	351
2	-4	0	0.47632122	0.12821016	0.029056484	0.19832197	0.16809016	275863.25	351
3	-8	0	0.47908953	0.13003829	0.029220037	0.18551441	0.17613773	636612.31	351
4	-12	0	0.47709009	0.13331713	0.031946033	0.17306508	0.18458164	609092	351
5	-16	0	0.4781709	0.1342762	0.033580374	0.16041966	0.19355287	524206.16	351
6	-20	0	0.47731143	0.13748279	0.035737712	0.14877136	0.20069671	383431.38	351
7	-24	0	0.4772605	0.14211963	0.034905616	0.13801651	0.20769773	237315.91	351
8	-28	0	0.47679958	0.14026883	0.035278864	0.13027322	0.2173795	250344.09	351
9	-32	0	0.47703615	0.14228286	0.035225246	0.12265906	0.22279669	463950.41	351
10	-36	0	0.47542655	0.14166537	0.03477047	0.11688907	0.23124853	283403.06	351
11	-40	0	0.47363335	0.13793813	0.036750302	0.11297361	0.23870461	115579.2	351
12	0	3.75	0.47840846	0.12348671	0.029182861	0.21458642	0.15433554	120555.48	351
13	-4	3.75	0.4763667	0.13039306	0.030331843	0.20053102	0.16237739	744840.19	351
14	-8	3.75	0.47849423	0.13270399	0.030880146	0.18780775	0.17011388	668562.31	351
15	-12	3.75	0.47611409	0.13709141	0.034037814	0.17508212	0.17767456	822783.12	351
16	-16	3.75	0.47660172	0.13876088	0.035798751	0.16224788	0.18659076	897867.19	351
17	-20	3.75	0.47549203	0.14223614	0.037370194	0.1508866	0.19401504	596022.94	351
18	-24	3.75	0.47558582	0.14658991	0.037663426	0.13988149	0.20027934	720430	351
19	-28	3.75	0.47575393	0.14568478	0.037890758	0.13197851	0.208692	612861.88	351
20	-32	3.75	0.4758994	0.14721043	0.037683837	0.12468796	0.21451838	722849.06	351
21	-36	3.75	0.47419995	0.14701742	0.037666522	0.11866396	0.22245215	854827.38	351
22	-40	3.75	0.47157633	0.14376961	0.039680637	0.11469129	0.23028213	730954.38	351
23	0	7.5	0.47993472	0.12531777	0.029755022	0.21580179	0.14919069	913261	351
24	-4	7.5	0.47641215	0.13257594	0.031607203	0.20274007	0.15666461	311331.84	351
25	-8	7.5	0.4778989	0.1353697	0.032540254	0.19010112	0.16409002	127642.91	351
26	-12	7.5	0.4751381	0.14086568	0.036129594	0.17709914	0.1707675	99754.992	351
27	-16	7.5	0.47503254	0.14324553	0.038017131	0.16407612	0.17962866	85168.578	351
28	-20	7.5	0.47367263	0.14698949	0.039002672	0.15300183	0.18733338	76681.781	351
29	-24	7.5	0.47391117	0.15106018	0.040421233	0.14174648	0.19286095	83195.656	351
30	-28	7.5	0.47470832	0.1511007	0.040502649	0.1336838	0.20000452	76644.18	351
31	-32	7.5	0.47476265	0.15213799	0.040142428	0.12671687	0.20624006	89749.016	351
32	-36	7.5	0.47297335	0.15236948	0.04056257	0.12043884	0.21365577	98693.133	351
33	-40	7.5	0.46951932	0.1496011	0.042610977	0.11640896	0.22185966	724451.25	351
34	0	11.5	0.48156273	0.12727089	0.030365327	0.21709818	0.14370286	242710.03	351
35	-4	11.5	0.47646067	0.13490437	0.03296759	0.20509639	0.15057097	117285.08	351
36	-8	11.5	0.47726393	0.13821311	0.034311038	0.19254734	0.15766457	147548.05	351
37	-12	11.5	0.47409701	0.14489157	0.038360827	0.17925063	0.16339995	124356.8	351
38	-16	11.5	0.47335875	0.14802918	0.040383406	0.16602623	0.17220241	304640.25	351
39	-20	11.5	0.4717319	0.15205973	0.040743984	0.15525809	0.18020628	98046.484	351
40	-24	11.5	0.47212487	0.15582846	0.043362901	0.14373578	0.18494798	108775.91	351
41	-28	11.5	0.473593	0.1568777	0.043288659	0.13550279	0.19073786	109842.65	351
42	-32	11.5	0.47355011	0.15739407	0.042764928	0.12888102	0.19740987	125742.24	351
43	-36	11.5	0.47166497	0.15807834	0.043651689	0.12233206	0.20427294	73170.203	351
44	-40	11.5	0.46732518	0.15582134	0.045736674	0.11824115	0.21287566	89494.547	351
45	0	15.25	0.48286387	0.12921292	0.031040251	0.2179569	0.13892604	215010.59	351
46	-4	15.25	0.47655529	0.13715839	0.034380134	0.20672765	0.14517851	213179.05	351
47	-8	15.25	0.47660235	0.14110751	0.036117293	0.19431496	0.1518579	155807.28	351
48	-12	15.25	0.47314286	0.14874443	0.040472526	0.18082462	0.15681556	162970.12	351
49	-16	15.25	0.47197703	0.15253358	0.042587787	0.16757149	0.16533013	137476.09	351
50	-20	15.25	0.47001335	0.15692219	0.042710148	0.15697612	0.1733782	117746.89	351
51	-24	15.25	0.4705328	0.16051967	0.046167783	0.14530927	0.17747048	111872.12	351
52	-28	15.25	0.47228307	0.16242293	0.046131693	0.13702981	0.18213253	138987.2	351
53	-32	15.25	0.47221348	0.16248788	0.045526359	0.13065352	0.18911876	257610.59	351
