Point	ASR
1	143118.28
2	135339.7
3	101042.96
4	100716.23
5	112940.16
6	113756.98
7	135920.89
8	140887.75
9	154358.89
10	172322.5
11	141110.8
12	153805.97
13	128202.01
14	90094.516
15	87615.805
16	112186.18
17	86575.938
18	78536.609
19	88372.93
20	103144.68
21	121105.16
22	121736.61
23	127429.17
24	103270.34
25	97778.844
26	85115.102
27	84018.68
28	83849.039
29	76113.938
30	87204.258
31	88778.195
32	134007.66
33	95246.727
34	117162.46
35	87270.227
36	87273.531
37	119003.43
38	53086.586
39	187835.67
40	67362.914
41	70148.562
42	72897.453
43	96038.406
44	90619.164
45	80129.898
46	73481.789
47	76698.781
48	67534.758
49	303320.5
50	39626.445
51	53261.957
52	63536.773
53	77609.836
54	86849.258
55	105714.5
56	68106.844
57	48524.059
58	87241.953
59	58003.176
60	66702.242
61	30846.77
62	41151.688
63	51174.301
64	67987.148
65	92620.359
66	117109.05
67	71097.32
68	51185.926
69	43431.887
70	520592.88
71	29260.82
72	23832.73
73	31264.475
74	41928.289
75	65272.281
76	83657.398
77	96578.758
78	65398.48
79	51932.996
80	42783.113
81	36160.328
82	6281841.5
83	27085.219
84	33037.273
85	59746.758
86	63013.699
87	84100.367
88	110835.3
89	73475.508
90	62366.844
91	54726.496
92	108887.51
93	211994.5
94	131098.55
95	45867.48
96	51444.48
97	61911.312
98	82466.734
99	114545.52
100	82560.984
101	75618.703
102	82008.062
103	71747.633
104	76711.344
105	79463.375
106	77306.992
107	88385.492
108	98872.117
109	122000.51
110	176274.61
111	93327.211
112	92237.086
113	111460.47
114	124193.34
115	106358.53
116	127334.93
117	156451.19
118	154063.58
119	184725.48
120	232446.25
121	256982.06
122	106839.2
123	110786.29
124	121868.24
125	200081.58
126	226332.7
127	192893.62
128	165498.97
129	231849.34
130	289277.59
131	233954.2
132	491376.09
