Point	Y_at
1	0.028318264
2	0.028404633
3	0.028371537
4	0.030876899
5	0.032446533
6	0.034903333
7	0.033496067
8	0.033943899
9	0.033968631
10	0.033290267
11	0.035252571
12	0.028953997
13	0.029821699
14	0.030216103
15	0.033201098
16	0.034911402
17	0.036717199
18	0.036560301
19	0.036846001
20	0.036700401
21	0.036508098
22	0.038508505
23	0.029589731
24	0.031238766
25	0.032060668
26	0.0355253
27	0.037376266
28	0.038531065
29	0.039624535
30	0.039748099
31	0.039432168
32	0.039725933
33	0.041764434
34	0.030225465
35	0.032655835
36	0.033905234
37	0.037849505
38	0.039841134
39	0.040344935
40	0.042688768
41	0.0426502
42	0.042163935
43	0.042943768
44	0.045020368
45	0.030861201
46	0.034072898
47	0.035749801
48	0.040173706
49	0.042305999
50	0.042158801
51	0.045752998
52	0.045552298
53	0.044895705
54	0.046161599
55	0.048276301
56	0.032353301
57	0.036633201
58	0.038812235
59	0.042663902
60	0.044654232
61	0.046753366
62	0.049209535
63	0.050380569
64	0.050151169
65	0.051062968
66	0.05336193
67	0.033845399
68	0.039193504
69	0.041874666
70	0.045154102
71	0.047002468
72	0.051347934
73	0.052666068
74	0.055208836
75	0.055406634
76	0.055964332
77	0.058447562
78	0.0353375
79	0.041753802
80	0.0449371
81	0.047644299
82	0.049350701
83	0.055942498
84	0.056122601
85	0.060037106
86	0.060662098
87	0.0608657
88	0.063533194
89	0.036818366
90	0.043028135
91	0.047107834
92	0.050749633
93	0.05317593
94	0.058635797
95	0.060160268
96	0.062532008
97	0.064352833
98	0.063853368
99	0.066878997
100	0.038299229
101	0.044302467
102	0.049278568
103	0.053854968
104	0.057001162
105	0.061329097
106	0.064197935
107	0.065026909
108	0.068043575
109	0.066841036
110	0.070224799
111	0.039780095
112	0.0455768
113	0.051449299
114	0.0569603
115	0.060826395
116	0.064022392
117	0.068235599
118	0.067521803
119	0.071734309
120	0.069828697
121	0.073570602
122	0.041260961
123	0.046851132
124	0.053620033
125	0.060065635
126	0.064651623
127	0.066715695
128	0.072273269
129	0.070016704
130	0.075425044
131	0.072816364
132	0.076916404
