Point	Zr_at
1	0.12071978
2	0.12709446
3	0.12867582
4	0.13138807
5	0.13198404
6	0.13505331
7	0.13983484
8	0.1375007
9	0.13976432
10	0.13892987
11	0.13495758
12	0.12275429
13	0.12951989
14	0.13163771
15	0.1355817
16	0.136967
17	0.1403348
18	0.1448018
19	0.1435184
20	0.1452394
21	0.1448766
22	0.14143701
23	0.12478879
24	0.13194533
25	0.13459961
26	0.13977534
27	0.14194997
28	0.14561629
29	0.14976877
30	0.1495361
31	0.15071447
32	0.15082334
33	0.14791644
34	0.12682329
35	0.13437077
36	0.1375615
37	0.14396897
38	0.14693293
39	0.1508978
40	0.15473573
41	0.1555538
42	0.15618955
43	0.15677007
44	0.15439588
45	0.12885781
46	0.13679621
47	0.1405234
48	0.14816262
49	0.15191589
50	0.15617929
51	0.1597027
52	0.1615715
53	0.16166462
54	0.16271681
55	0.16087531
56	0.1318171
57	0.13981447
58	0.145391
59	0.15301117
60	0.15706313
61	0.16237003
62	0.16651089
63	0.16866665
64	0.16852514
65	0.17042656
66	0.16805939
67	0.1347764
68	0.14283274
69	0.1502586
70	0.15785974
71	0.16221036
72	0.16856077
73	0.1733191
74	0.17576177
75	0.17538567
76	0.17813633
77	0.17524348
78	0.13773569
79	0.14585102
80	0.1551262
81	0.1627083
82	0.16735759
83	0.17475151
84	0.18012729
85	0.18285692
86	0.18224619
87	0.18584611
88	0.18242759
89	0.14167053
90	0.1501362
91	0.15898913
92	0.16675673
93	0.17382886
94	0.17973903
95	0.1851186
96	0.18785222
97	0.18832381
98	0.19030426
99	0.18820415
100	0.14560536
101	0.1544214
102	0.16285206
103	0.17080517
104	0.18030012
105	0.18472655
106	0.19010989
107	0.19284752
108	0.19440141
109	0.19476244
110	0.19398072
111	0.14954019
112	0.15870661
113	0.166715
114	0.17485359
115	0.18677138
116	0.18971407
117	0.1951012
118	0.19784282
119	0.20047902
120	0.1992206
121	0.19975729
122	0.15347502
123	0.16299179
124	0.17057793
125	0.17890203
126	0.19324264
127	0.19470161
128	0.20009249
129	0.20283812
130	0.20655663
131	0.20367877
132	0.20553388
