Point	Ba_at
1	0.47508916
2	0.4727951
3	0.47924292
4	0.47749913
5	0.47634298
6	0.48345098
7	0.48420492
8	0.48890004
9	0.48709497
10	0.48771325
11	0.48420092
12	0.47289535
13	0.47094372
14	0.47600797
15	0.47644761
16	0.47647786
17	0.48261011
18	0.48420385
19	0.48784351
20	0.4879446
21	0.48827943
22	0.48535004
23	0.47070152
24	0.46909237
25	0.47277299
26	0.47539607
27	0.47661272
28	0.48176923
29	0.48420274
30	0.48678702
31	0.48879427
32	0.48884562
33	0.48649916
34	0.46850771
35	0.46724099
36	0.46953803
37	0.47434455
38	0.4767476
39	0.48092836
40	0.48420164
41	0.4857305
42	0.4896439
43	0.48941183
44	0.48764828
45	0.46631387
46	0.46538961
47	0.46630305
48	0.47329304
49	0.47688249
50	0.48008752
51	0.48420054
52	0.48467401
53	0.49049354
54	0.48997802
55	0.4887974
56	0.46624866
57	0.46517357
58	0.46694875
59	0.4724668
60	0.47547698
61	0.47981444
62	0.48331365
63	0.48461494
64	0.48982373
65	0.48976573
66	0.48924282
67	0.46618342
68	0.46495757
69	0.46759444
70	0.47164059
71	0.47407147
72	0.47954136
73	0.48242676
74	0.4845559
75	0.48915389
76	0.48955342
77	0.48968825
78	0.46611819
79	0.46474156
80	0.46824014
81	0.47081435
82	0.47266597
83	0.47926831
84	0.48153991
85	0.48449683
86	0.48848405
87	0.48934114
88	0.4901337
89	0.46753311
90	0.46666414
91	0.46937045
92	0.47259042
93	0.47296751
94	0.47876024
95	0.48167491
96	0.48438478
97	0.48842362
98	0.48875129
99	0.48938215
100	0.46894807
101	0.46858671
102	0.47050077
103	0.47436646
104	0.47326905
105	0.4782522
106	0.48180994
107	0.48427275
108	0.48836318
109	0.48816144
110	0.48863062
111	0.47036299
112	0.47050929
113	0.47163108
114	0.47614253
115	0.47357056
116	0.47774416
117	0.48194495
118	0.48416069
119	0.48830274
120	0.4875716
121	0.4878791
122	0.47177792
123	0.47243187
124	0.47276136
125	0.4779186
126	0.4738721
127	0.47723609
128	0.48207998
129	0.48404863
130	0.48824227
131	0.48698175
132	0.48712757
