Point	Fe_at
1	0.20333225
2	0.21438116
3	0.22314456
4	0.23440221
5	0.24498382
6	0.25627095
7	0.26806879
8	0.27919221
9	0.29068795
10	0.30343959
11	0.320016
12	0.20107564
13	0.21181537
14	0.2210623
15	0.23206228
16	0.24347709
17	0.25485647
18	0.26704276
19	0.27842337
20	0.28928581
21	0.30184612
22	0.317687
23	0.19881904
24	0.20924959
25	0.21898004
26	0.22972237
27	0.24197036
28	0.25344202
29	0.26601669
30	0.2776545
31	0.2878837
32	0.30025265
33	0.31535801
34	0.19656242
35	0.2066838
36	0.21689777
37	0.22738244
38	0.24046364
39	0.25202757
40	0.26499066
41	0.27688566
42	0.28648156
43	0.29865918
44	0.31302899
45	0.19430582
46	0.20411803
47	0.21481551
48	0.22504251
49	0.23895691
50	0.25061309
51	0.26396459
52	0.27611679
53	0.28507945
54	0.29706568
55	0.3107
56	0.19670309
57	0.20672317
58	0.21710025
59	0.22798067
60	0.24048321
61	0.25243428
62	0.26604408
63	0.27764514
64	0.28680265
65	0.29793257
66	0.31113547
67	0.19910036
68	0.20932829
69	0.21938497
70	0.23091885
71	0.24200951
72	0.25425547
73	0.26812354
74	0.27917349
75	0.28852588
76	0.29879946
77	0.31157094
78	0.20149763
79	0.21193343
80	0.2216697
81	0.23385704
82	0.2435358
83	0.25607663
84	0.27020299
85	0.28070185
86	0.29024911
87	0.29966637
88	0.31200641
89	0.20676257
90	0.21708143
91	0.22611456
92	0.23765901
93	0.24743691
94	0.25943395
95	0.27198401
96	0.28266555
97	0.29136932
98	0.30134657
99	0.3144744
100	0.21202749
101	0.22222944
102	0.23055939
103	0.24146098
104	0.25133801
105	0.26279128
106	0.27376503
107	0.28462926
108	0.2924895
109	0.30302677
110	0.31694239
111	0.21729241
112	0.22737743
113	0.23500425
114	0.24526295
115	0.2552391
116	0.2661486
117	0.27554607
118	0.28659293
119	0.29360971
120	0.30470696
121	0.31941038
122	0.22255734
123	0.23252542
124	0.2394491
125	0.24906494
126	0.25914019
127	0.26950592
128	0.27732709
129	0.28855664
130	0.29472992
131	0.30638719
132	0.32187837
