Point	Rp
1	1.7040828e+09
2	1.2439e+09
3	1.9089999e+09
4	1.1220011e+10
5	1.5520579e+09
6	1.7300771e+09
7	8.8768442e+08
8	1.1905e+09
9	1.46286e+10
10	3.071175e+12
11	1.82026e+09
12	1.830272e+09
13	2.0371034e+09
14	4.9501e+09
15	1.84427e+09
16	1.1367e+09
17	9.6950003e+08
18	6.8449997e+08
19	7.2532e+08
20	6.1030003e+08
21	5.2076998e+08
22	2.8155098e+08
23	1.718014e+09
24	2.5595e+09
25	9.228e+08
26	6.7830003e+08
27	5.408e+08
28	2.5681e+08
29	3.158e+08
30	2.834e+08
31	2.8940205e+08
32	5.297e+08
33	2.284e+08
34	1.2369999e+09
35	4.5325799e+11
36	2.5822001e+09
37	5.4649997e+08
38	3.2780998e+08
39	4.2313299e+08
40	5.231e+08
41	5.1306e+08
42	3.572e+08
43	5.0516669e+08
44	1.7035e+08
45	6.5912026e+08
46	2.53411e+09
47	9.164e+08
48	5.552e+08
49	7.53e+08
50	4.6024998e+08
51	6.7128e+08
52	1.1063e+09
53	2.0380061e+08
54	4.5021998e+09
55	5.6991698e+09
56	1.22168e+09
57	8.8112851e+08
58	1.8945999e+09
59	1.15515e+09
60	9.3847002e+08
61	2.12496e+08
62	1.14808e+09
63	7.334e+08
64	1.0830746e+09
65	1.9218211e+11
66	3.377452e+10
67	1.341556e+10
68	5.2339999e+10
69	4.9223398e+09
70	1.2890284e+09
71	8.703255e+08
72	1.22333e+09
73	6.68032e+08
74	2.31703e+10
75	1.47142e+09
76	2.86735e+09
77	4.1051161e+11
78	6.721065e+10
79	2.0680001e+11
80	7.6542922e+11
81	1.1424e+10
82	1.7934001e+09
83	1.5703e+09
84	8.2592998e+08
85	6.06915e+11
86	1.4143e+08
87	6.9454099e+08
88	2.1142301e+10
89	2.2485881e+10
90	1.036358e+11
91	1.607969e+11
92	1.61368e+10
93	8.6843002e+08
94	6.0860268e+09
95	8.8935997e+09
96	1.506874e+10
97	1.9851221e+10
98	2.0175401e+10
99	1.96435e+09
100	1.5076e+09
101	1.6564599e+11
102	3.99481e+10
103	3.9810011e+10
104	2.3842601e+10
105	4.2312602e+10
106	2.42165e+10
107	3.1879999e+10
108	4.8291201e+10
109	2.73147e+10
110	3.4029199e+10
111	4.8432998e+09
112	5.9463997e+09
113	1.200995e+10
114	2.7120087e+10
115	5.8075001e+10
116	3.5366561e+11
117	2.74631e+10
118	1.472395e+10
119	2.36555e+10
120	4.98326e+10
121	1.064932e+10
122	2.7618501e+09
123	1.30433e+10
124	6.4095132e+11
125	1.0621e+09
126	1.09503e+09
127	8.6841299e+08
128	1.1883e+09
129	5.1752702e+10
130	3.41767e+10
131	9.4006297e+10
132	1.218657e+11
