Point	ASR
1	5347094
2	1230342.9
3	982846.44
4	542963.44
5	69933.047
6	651653
7	1836679.2
8	942486.75
9	822256.19
10	591467.12
11	640884.38
12	848314.94
13	663296.38
14	693537.44
15	546479.56
16	534290.19
17	455550.59
18	208193.7
19	406964.72
20	288962
21	266658.16
22	231440.94
23	280354.06
24	397186.16
25	5765.98
26	589745.25
27	193584.78
28	229653.38
29	97014.656
30	110741.17
31	143561.23
32	200025.03
33	154123.39
34	315531.88
35	171474.08
36	162564.72
37	94819.469
38	85038.445
39	56355.316
40	61270.305
41	78784.641
42	70997.422
43	131009.96
44	120105.56
45	264208.72
46	102766.84
47	86330.898
48	71628.25
49	56992.211
50	41007.176
51	49194.156
52	63057.996
53	65395.336
54	130318.21
55	86927.797
56	267861.38
57	240488.72
58	79739.648
59	54971.887
60	115.86184
61	18117636
62	292639.09
63	225811.58
64	112418.66
65	155826
66	197901.33
67	438911.53
68	136407.59
69	108322.52
70	120637.05
71	104008.62
72	93666.258
73	1.9609312e+08
74	53259.375
75	49816.191
76	72360.867
77	130693.29
78	305836.19
79	145218.2
80	69706.664
81	61075.652
82	41736.273
83	33485.895
84	30837.848
85	26311.162
86	28416.311
87	73194.961
88	198049.12
89	288635.47
90	120730.52
91	49170.531
92	59074.457
93	64688.48
94	55544.566
95	39687.707
96	41063.094
97	39261.172
98	146713.52
99	1595676.4
100	148248.17
101	180270.41
102	51028.094
103	67460872
104	52338.891
105	33952.105
106	29710.018
107	39026.086
108	45282.879
109	2.2631998e+08
110	137151.77
111	415695.19
112	155804.02
113	112771.27
114	94728.992
115	72734.094
116	47995.184
117	59022.621
118	97716.016
119	100372.42
120	185422.92
121	321793.06
122	2.0618264e+08
123	128005.84
124	2950361.5
125	134994.12
126	753164.81
127	78853.906
128	91442.258
129	903521.31
130	3997233.5
131	185573.72
132	272250.19
