Point	Zr_at
1	0.067980416
2	0.060309295
3	0.059821118
4	0.054911189
5	0.054245535
6	0.052484442
7	0.052323934
8	0.047417566
9	0.047521193
10	0.047527995
11	0.045718536
12	0.072650358
13	0.067158051
14	0.067201108
15	0.062698357
16	0.061281107
17	0.059351306
18	0.058341693
19	0.054100849
20	0.052694973
21	0.052115433
22	0.049727451
23	0.0773203
24	0.074006803
25	0.074581102
26	0.070485517
27	0.068316683
28	0.066218175
29	0.064359449
30	0.060784131
31	0.057868753
32	0.056702871
33	0.05373637
34	0.081990249
35	0.080855556
36	0.081961095
37	0.078272685
38	0.075352252
39	0.07308504
40	0.070377208
41	0.067467414
42	0.063042529
43	0.061290309
44	0.057745285
45	0.086660191
46	0.087704308
47	0.089341089
48	0.086059853
49	0.082387827
50	0.079951912
51	0.076394968
52	0.074150696
53	0.068216309
54	0.065877751
55	0.061754204
56	0.083210662
57	0.085573263
58	0.087099388
59	0.085776642
60	0.083898127
61	0.08180432
62	0.078839406
63	0.076763123
64	0.072116278
65	0.068578102
66	0.065377526
67	0.079761133
68	0.083442211
69	0.08485768
70	0.08549343
71	0.085408427
72	0.083656721
73	0.081283852
74	0.07937555
75	0.07601624
76	0.071278453
77	0.069000848
78	0.076311603
79	0.081311166
80	0.082615979
81	0.085210219
82	0.086918734
83	0.085509129
84	0.083728299
85	0.081987977
86	0.079916202
87	0.073978812
88	0.072624177
89	0.07077764
90	0.074000426
91	0.076000534
92	0.07890971
93	0.079940341
94	0.079530112
95	0.079340152
96	0.07842803
97	0.07759884
98	0.073175527
99	0.071693353
100	0.065243684
101	0.066689685
102	0.069385089
103	0.072609194
104	0.072961949
105	0.073551096
106	0.074952006
107	0.074868083
108	0.075281478
109	0.072372243
110	0.07076253
111	0.05970972
112	0.059378948
113	0.062769644
114	0.066308685
115	0.065983556
116	0.06757208
117	0.07056386
118	0.071308136
119	0.072964124
120	0.071568958
121	0.069831714
122	0.054175761
123	0.052068207
124	0.056154199
125	0.060008176
126	0.05900516
127	0.061593067
128	0.066175714
129	0.067748189
130	0.070646763
131	0.070765682
132	0.068900891
