Point	Ba_at
1	0.47787941
2	0.47292501
3	0.47645694
4	0.47286925
5	0.47695175
6	0.47855109
7	0.48103189
8	0.4809303
9	0.4815574
10	0.4829722
11	0.48042989
12	0.47471774
13	0.47142169
14	0.47413686
15	0.47244325
16	0.47591609
17	0.47742656
18	0.47968587
19	0.47993472
20	0.48087341
21	0.48252988
22	0.47983631
23	0.47155607
24	0.46991834
25	0.47181678
26	0.47201726
27	0.4748804
28	0.47630203
29	0.47833985
30	0.47893915
31	0.48018938
32	0.48208758
33	0.47924271
34	0.4683944
35	0.46841502
36	0.4694967
37	0.47159129
38	0.47384471
39	0.4751775
40	0.47699383
41	0.47794357
42	0.47950536
43	0.48164526
44	0.47864914
45	0.46523273
46	0.46691167
47	0.46717659
48	0.4711653
49	0.47280905
50	0.47405297
51	0.47564781
52	0.47694799
53	0.47882134
54	0.48120293
55	0.47805554
56	0.46486899
57	0.4656972
58	0.46574792
59	0.4697116
60	0.47193342
61	0.47238839
62	0.47545078
63	0.47706422
64	0.47823554
65	0.47964826
66	0.47712183
67	0.46450523
68	0.46448272
69	0.46431926
70	0.46825787
71	0.47105783
72	0.47072381
73	0.47525376
74	0.47718045
75	0.47764978
76	0.47809359
77	0.47618812
78	0.46414146
79	0.46326822
80	0.4628906
81	0.46680418
82	0.47018224
83	0.46905923
84	0.47505674
85	0.47729671
86	0.47706398
87	0.47653893
88	0.47525442
89	0.4647066
90	0.46382478
91	0.46346375
92	0.46659523
93	0.46966928
94	0.46948743
95	0.47447166
96	0.47578105
97	0.47675335
98	0.4753148
99	0.47351521
100	0.46527174
101	0.46438134
102	0.46403688
103	0.46638626
104	0.46915632
105	0.4699156
106	0.47388658
107	0.4742654
108	0.47644275
109	0.47409064
110	0.47177598
111	0.46583688
112	0.46493787
113	0.46461004
114	0.46617731
115	0.46864337
116	0.4703438
117	0.47330153
118	0.47274974
119	0.47613212
120	0.47286651
121	0.47003677
122	0.46640205
123	0.46549442
124	0.4651832
125	0.46596834
126	0.46813041
127	0.470772
128	0.47271645
129	0.47123408
130	0.47582152
131	0.47164237
132	0.46829757
