Point	Co_at
1	0.011144763
2	0.0084074624
3	0.0097208731
4	0.0083108209
5	0.0079604071
6	0.0088024195
7	0.006288182
8	0.0065738643
9	0.0058084321
10	0.0054067713
11	0.004615664
12	0.011069413
13	0.0090703182
14	0.0098463017
15	0.0085313814
16	0.0080853608
17	0.0087717157
18	0.0064889281
19	0.0067359856
20	0.006046325
21	0.0054396698
22	0.0049900115
23	0.010994063
24	0.009733174
25	0.0099717304
26	0.0087519409
27	0.0082103154
28	0.0087410118
29	0.0066896742
30	0.0068981065
31	0.0062842178
32	0.0054725683
33	0.0053643594
34	0.010918712
35	0.010396029
36	0.01009716
37	0.0089725014
38	0.0083352691
39	0.008710308
40	0.0068904203
41	0.0070602274
42	0.0065221107
43	0.0055054673
44	0.0057387068
45	0.010843362
46	0.011058885
47	0.010222589
48	0.0091930619
49	0.0084602237
50	0.0086796042
51	0.0070911665
52	0.0072223488
53	0.0067600035
54	0.0055383658
55	0.0061130542
56	0.010922691
57	0.011091568
58	0.010211956
59	0.0094888024
60	0.0086629335
61	0.0086029293
62	0.0074588517
63	0.0073149945
64	0.0067769778
65	0.0058695278
66	0.0063511841
67	0.011002021
68	0.011124251
69	0.010201322
70	0.0097845439
71	0.0088656442
72	0.0085262544
73	0.007826536
74	0.0074076406
75	0.0067939521
76	0.0062006898
77	0.0065893135
78	0.01108135
79	0.011156934
80	0.010190689
81	0.010080284
82	0.009068354
83	0.0084495796
84	0.0081942212
85	0.0075002867
86	0.0068109264
87	0.0065318518
88	0.0068274429
89	0.011020676
90	0.011240005
91	0.010113119
92	0.010389338
93	0.0093473131
94	0.0087938532
95	0.008204923
96	0.0078585651
97	0.0071850722
98	0.0065320511
99	0.0071857907
100	0.010960002
101	0.011323075
102	0.010035549
103	0.010698393
104	0.0096262721
105	0.0091381269
106	0.0082156248
107	0.008216843
108	0.0075592175
109	0.0065322504
110	0.0075441385
111	0.010899329
112	0.011406145
113	0.0099579794
114	0.011007447
115	0.0099052312
116	0.0094823996
117	0.0082263257
118	0.0085751209
119	0.0079333633
120	0.0065324497
121	0.0079024862
122	0.010838655
123	0.011489214
124	0.0098804096
125	0.011316502
126	0.01018419
127	0.0098266732
128	0.0082370276
129	0.0089333989
130	0.0083075082
131	0.0065326486
132	0.008260834
