Point	Fe_at
1	0.18851621
2	0.1957608
3	0.20059782
4	0.21231134
5	0.22132437
6	0.22958219
7	0.2419636
8	0.25066164
9	0.2606332
10	0.273022
11	0.28574559
12	0.18201976
13	0.18929127
14	0.19499676
15	0.20623226
16	0.21569549
17	0.22489068
18	0.23718087
19	0.24730547
20	0.25768277
21	0.27029306
22	0.28268215
23	0.17552331
24	0.18282174
25	0.1893957
26	0.20015317
27	0.2100666
28	0.22019917
29	0.23239817
30	0.24394928
31	0.25473237
32	0.26756415
33	0.27961874
34	0.16902687
35	0.1763522
36	0.18379463
37	0.19407409
38	0.20443773
39	0.21550766
40	0.22761546
41	0.24059311
42	0.25178194
43	0.26483521
44	0.2765553
45	0.16253041
46	0.16988267
47	0.17819357
48	0.187995
49	0.19880885
50	0.21081616
51	0.22283274
52	0.23723692
53	0.24883154
54	0.2621063
55	0.27349189
56	0.16035423
57	0.16830561
58	0.17652413
59	0.18596601
60	0.19697136
61	0.20888644
62	0.22102456
63	0.23399347
64	0.24623315
65	0.25886184
66	0.27149957
67	0.15817803
68	0.16672854
69	0.17485468
70	0.18393703
71	0.19513386
72	0.20695674
73	0.21921636
74	0.23075001
75	0.24363476
76	0.25561738
77	0.26950726
78	0.15600185
79	0.16515148
80	0.17318524
81	0.18190804
82	0.19329637
83	0.20502704
84	0.21740817
85	0.22750656
86	0.24103637
87	0.25237289
88	0.26751494
89	0.15700595
90	0.16521397
91	0.1735165
92	0.18182269
93	0.19299141
94	0.20459208
95	0.21629982
96	0.22664763
97	0.23849265
98	0.25089341
99	0.26539686
100	0.15801005
101	0.16527648
102	0.17384775
103	0.18173733
104	0.19268642
105	0.20415711
106	0.21519145
107	0.2257887
108	0.23594892
109	0.24941395
110	0.26327878
111	0.15901415
112	0.16533899
113	0.17417899
114	0.18165199
115	0.19238146
116	0.20372216
117	0.21408309
118	0.22492976
119	0.23340519
120	0.24793448
121	0.2611607
122	0.16001825
123	0.1654015
124	0.17451024
125	0.18156664
126	0.19207649
127	0.2032872
128	0.21297473
129	0.22407083
130	0.23086146
131	0.246455
132	0.25904262
