Point	Co_at
1	0.014560564
2	0.014309864
3	0.011216567
4	0.011819433
5	0.011884066
6	0.010381732
7	0.0088946335
8	0.009958935
9	0.0077109667
10	0.0077724345
11	0.010468833
12	0.014601499
13	0.014199198
14	0.0118839
15	0.0122041
16	0.0117892
17	0.010546599
18	0.009145
19	0.0097350013
20	0.0081318999
21	0.0076852008
22	0.0096810004
23	0.014642432
24	0.014088532
25	0.012551233
26	0.012588766
27	0.011694334
28	0.010711466
29	0.0093953665
30	0.0095110675
31	0.0085528335
32	0.0075979671
33	0.0088931667
34	0.014683366
35	0.013977867
36	0.013218567
37	0.012973433
38	0.011599467
39	0.010876333
40	0.0096457331
41	0.0092871338
42	0.008973767
43	0.0075107338
44	0.0081053339
45	0.0147243
46	0.0138672
47	0.0138859
48	0.0133581
49	0.011504601
50	0.0110412
51	0.0098960986
52	0.0090632001
53	0.0093946997
54	0.0074235001
55	0.0073175007
56	0.014639433
57	0.014068566
58	0.0138516
59	0.0131387
60	0.011815701
61	0.0113476
62	0.010139632
63	0.009349633
64	0.0095093334
65	0.0081930002
66	0.0077740336
67	0.014554568
68	0.014269932
69	0.0138173
70	0.012919301
71	0.0121268
72	0.011654
73	0.010383165
74	0.0096360659
75	0.0096239671
76	0.0089625008
77	0.008230566
78	0.014469702
79	0.014471299
80	0.013783
81	0.012699901
82	0.012437899
83	0.0119604
84	0.010626699
85	0.0099224988
86	0.0097386008
87	0.0097320005
88	0.0086870994
89	0.014918067
90	0.014829465
91	0.0144502
92	0.013402834
93	0.013077333
94	0.012316667
95	0.011352733
96	0.010820732
97	0.010329967
98	0.010416701
99	0.0091266325
100	0.015366433
101	0.015187631
102	0.0151174
103	0.014105766
104	0.013716767
105	0.012672934
106	0.012078767
107	0.011718965
108	0.010921333
109	0.0111014
110	0.0095661664
111	0.015814798
112	0.015545798
113	0.015784601
114	0.014808699
115	0.0143562
116	0.013029201
117	0.0128048
118	0.012617199
119	0.011512699
120	0.0117861
121	0.0100057
122	0.016263165
123	0.015903965
124	0.0164518
125	0.015511631
126	0.014995634
127	0.013385468
128	0.013530834
129	0.013515432
130	0.012104065
131	0.012470799
132	0.010445233
