Point	Rp
1	9.3667918e+10
2	1.6e+13
3	5.5409869e+10
4	5.1114799e+10
5	8.4460003e+10
6	3.6244292e+10
7	3.0044733e+08
8	4.4527051e+10
9	1.649211e+10
10	80407328
11	5.2066398e+10
12	1.5548332e+11
13	6.5609998e+10
14	4.7870128e+10
15	2.3834831e+10
16	3.7529919e+10
17	4.3869458e+10
18	1.9961479e+10
19	1.502186e+11
20	3.516706e+10
21	2.4721529e+11
22	2.504961e+10
23	4.6641893e+11
24	1.1369813e+11
25	1.112195e+11
26	6.2401761e+10
27	4.2415612e+10
28	8.2554397e+10
29	9.8689303e+10
30	7.0434398e+10
31	3.2154e+08
32	1.8014001e+09
33	5.532432e+10
34	1.71022e+10
35	5.6463999e+10
36	5.0192741e+11
37	3.3135929e+10
38	3.4153169e+11
39	1.433485e+10
40	4.0812999e+10
41	7.3912803e+10
42	6.2490001e+10
43	1.861129e+11
44	1.382113e+10
45	8.3336298e+10
46	3.96206e+10
47	6.87611e+10
48	5.42307e+10
49	4.9162498e+10
50	2.3451103e+12
51	1.177172e+10
52	2.5423901e+10
53	1.115243e+10
54	1.1188339e+10
55	5.2700902e+09
56	4.5575639e+10
57	2.3531e+13
58	5.486689e+11
59	2.3675409e+11
60	1.314585e+11
61	3.9680991e+10
62	1.0289132e+11
63	7.0094504e+10
64	7.7432496e+10
65	5.8375868e+10
66	2.6400399e+10
67	4.9106499e+09
68	3.8792298e+10
69	4.7207518e+10
70	4.7938679e+10
71	4.3348201e+10
72	4.8604362e+11
73	4.0997401e+10
74	7.9762843e+11
75	4.6254879e+10
76	1.8340001e+12
77	3.5481211e+10
78	3.5171369e+10
79	1.9139152e+10
80	7.9584322e+10
81	7.7709e+09
82	1.1422784e+11
83	4.7989301e+10
84	7.2696144e+10
85	8.065159e+12
86	8.0305848e+09
87	1.1561037e+08
88	3.7212644e+12
89	2.104397e+11
90	9.4960501e+10
91	3.0563805e+11
92	5.6985399e+10
93	6.7956711e+10
94	5.1860241e+12
95	2.014547e+11
96	1.49021e+11
97	4.7183352e+10
98	4.1266151e+10
99	1.149234e+11
100	1.0971678e+12
101	1.044518e+11
102	6.4537821e+10
103	9.3451698e+10
104	7.0395402e+09
105	5.0824659e+10
106	4.9326518e+10
107	7.3478308e+10
108	3.4732581e+10
109	2.3687569e+10
110	3.0972621e+10
111	1.6781123e+12
112	6.790765e+11
113	4.358366e+10
114	6.3487599e+10
115	8.6760997e+10
116	5.3935051e+10
117	67850016
118	5.52499e+10
119	1.0319752e+11
120	3.119992e+10
121	1.070459e+11
122	4.8965751e+10
123	
124	1.1917e+13
125	4.8920179e+10
126	4.1170239e+11
127	3.2892201e+10
128	1.191309e+11
129	7.1489782e+10
130	3.184909e+11
131	2.353842e+10
132	2.1252309e+10
