Point	Y_at
1	0.059897926
2	0.060565624
3	0.063675769
4	0.073108397
5	0.076227628
6	0.081849389
7	0.087500967
8	0.092192516
9	0.095690064
10	0.10353038
11	0.11438983
12	0.057394493
13	0.059068494
14	0.0625166
15	0.0708929
16	0.074329197
17	0.079307489
18	0.085816398
19	0.090985008
20	0.094829999
21	0.10147851
22	0.110853
23	0.054891061
24	0.057571363
25	0.061357435
26	0.068677403
27	0.072430767
28	0.076765597
29	0.084131829
30	0.089777507
31	0.093969934
32	0.099426642
33	0.10731617
34	0.052387632
35	0.056074232
36	0.060198266
37	0.066461898
38	0.070532337
39	0.074223697
40	0.082447261
41	0.088570006
42	0.093109868
43	0.097374767
44	0.10377934
45	0.0498842
46	0.054577101
47	0.059039101
48	0.064246401
49	0.068633907
50	0.071681798
51	0.080762692
52	0.087362498
53	0.092249803
54	0.0953229
55	0.10024251
56	0.04811487
57	0.052116297
58	0.056492768
59	0.061897535
60	0.066478267
61	0.069698401
62	0.077170394
63	0.084373295
64	0.089006603
65	0.093147501
66	0.097352736
67	0.046345536
68	0.049655497
69	0.053946432
70	0.059548672
71	0.064322628
72	0.067714997
73	0.073578089
74	0.081384093
75	0.085763402
76	0.090972103
77	0.094462961
78	0.044576205
79	0.047194697
80	0.051400099
81	0.057199806
82	0.062166993
83	0.0657316
84	0.069985792
85	0.07839489
86	0.082520209
87	0.088796712
88	0.091573194
89	0.044012967
90	0.046343096
91	0.051109232
92	0.054552767
93	0.059643731
94	0.063931137
95	0.067367427
96	0.07464359
97	0.078427404
98	0.083143242
99	0.085939862
100	0.043449733
101	0.045491494
102	0.050818365
103	0.051905733
104	0.057120465
105	0.062130671
106	0.064749062
107	0.070892289
108	0.074334599
109	0.077489771
110	0.08030653
111	0.042886496
112	0.044639897
113	0.050527502
114	0.049258694
115	0.054597199
116	0.060330205
117	0.062130701
118	0.067140996
119	0.070241794
120	0.0718363
121	0.074673198
122	0.042323258
123	0.043788295
124	0.050236635
125	0.046611659
126	0.052073937
127	0.058529742
128	0.059512336
129	0.063389696
130	0.066148989
131	0.066182829
132	0.069039866
