Point	ASR
1	6859981.5
2	10067548
3	72544088
4	14944556
5	25823892
6	44701720
7	36593272
8	31054644
9	1.1332165e+08
10	76224464
11	67563088
12	52753624
13	48857108
14	66507204
15	77980296
16	88749992
17	57462872
18	41976392
19	28840448
20	34115184
21	5045712
22	29933094
23	30177196
24	78219376
25	1.2993313e+08
26	1.5148288e+08
27	1.0611232e+08
28	97952656
29	49506472
30	26719246
31	32141634
32	23612210
33	24663388
34	72933016
35	12178070
36	95709560
37	1.3165724e+08
38	1.018473e+08
39	77901448
40	34094448
41	11492574
42	14253406
43	10031734
44	11736990
45	8170968.5
46	21336126
47	31740454
48	1.6423712e+08
49	91985832
50	66484268
51	73348960
52	55976896
53	32105192
54	26282564
55	19921468
56	28345648
57	50308836
58	1.0252902e+08
59	71044608
60	65712380
61	58280940
62	56008312
63	59875616
64	18406592
65	43231456
66	63622.465
67	27931900
68	35706400
69	37997564
70	44596480
71	1.5691314e+08
72	47264004
73	59339032
74	30710324
75	25688804
76	895982.62
77	2728159
78	30690218
79	45965584
80	44393844
81	84199712
82	20775352
83	85885176
84	1.3931707e+08
85	63957800
86	16823228
87	39147388
88	60389264
89	36144652
90	18292866
91	20986154
92	11970725
93	83663752
94	59251380
95	20754304
96	3228426.2
97	20428834
98	42150120
99	3213283.8
100	23832122
101	66881052
102	28060706
103	10588424
104	52900652
105	40300664
106	20480042
107	26301414
108	16040344
109	26185488
110	26248006
111	51387660
112	30522772
113	23853170
114	16735578
115	27621510
116	12195977
117	12585534
118	8040278
119	15475485
120	11957216
121	5145614.5
122	831673.81
123	31968532
124	1992115.4
125	1214131.4
126	3808238.5
127	21103334
128	19061614
129	355672.09
130	138261.5
131	212952.86
132	700265.94
