Point	Temp_C
1	437
2	437
3	437
4	437
5	437
6	437
7	437
8	437
9	437
10	437
11	437
12	437
13	437
14	437
15	437
16	437
17	437
18	437
19	437
20	437
21	437
22	437
23	437
24	437
25	437
26	437
27	437
28	437
29	437
30	437
31	437
32	437
33	437
34	437
35	437
36	437
37	437
38	437
39	437
40	437
41	437
42	437
43	437
44	437
45	437
46	437
47	437
48	437
49	437
50	437
51	437
52	437
53	437
54	437
55	437
56	437
57	437
58	437
59	437
60	437
61	437
62	437
63	437
64	437
65	437
66	437
67	437
68	437
69	437
70	437
71	437
72	437
73	437
74	437
75	437
76	437
77	437
78	437
79	437
80	437
81	437
82	437
83	437
84	437
85	437
86	437
87	437
88	437
89	437
90	437
91	437
92	437
93	437
94	437
95	437
96	437
97	437
98	437
99	437
100	437
101	437
102	437
103	437
104	437
105	437
106	437
107	437
108	437
109	437
110	437
111	437
112	437
113	437
114	437
115	437
116	437
117	437
118	437
119	437
120	437
121	437
122	437
123	437
124	437
125	437
126	437
127	437
128	437
129	437
130	437
131	437
132	437
