Point	Fe_at
1.	0.15645522
2.	0.15402272
3.	0.15050367
4.	0.15040885
5.	0.15644397
6.	0.15477866
7.	0.15616556
8.	0.15968759
9.	0.15793981
10.	0.16068478
11.	0.16639212
12.	0.15393649
13.	0.15344036
14.	0.15163055
15.	0.15350629
16.	0.16086918
17.	0.1627239
18.	0.16530064
19.	0.16914427
20.	0.16913182
21.	0.17401297
22.	0.1801111
23.	0.15141776
24.	0.15285799
25.	0.15275745
26.	0.15660372
27.	0.16529439
28.	0.17066912
29.	0.17443572
30.	0.17860095
31.	0.18032384
32.	0.18734117
33.	0.19383006
34.	0.14771484
35.	0.15098569
36.	0.15275209
37.	0.15970324
38.	0.17032555
39.	0.18363345
40.	0.18716465
41.	0.19202094
42.	0.19488555
43.	0.20563453
44.	0.21011941
45.	0.14366559
46.	0.14912903
47.	0.15250584
48.	0.16057471
49.	0.17243954
50.	0.1852765
51.	0.19167067
52.	0.19671583
53.	0.20206751
54.	0.21381595
55.	0.22145104
56.	0.14366559
57.	0.14912903
58.	0.15250584
59.	0.16057471
60.	0.17243954
61.	0.1852765
62.	0.19167067
63.	0.19671583
64.	0.20206751
65.	0.21381595
66.	0.22145104
67.	0.14719149
68.	0.16047804
69.	0.1672564
70.	0.17531
71.	0.18713199
72.	0.19305746
73.	0.20945404
74.	0.20714287
75.	0.21988247
76.	0.23314053
77.	0.25015059
78.	0.14266476
79.	0.15529409
80.	0.16379739
81.	0.17389216
82.	0.18737262
83.	0.19498941
84.	0.21087724
85.	0.21459404
86.	0.22808419
87.	0.24083151
88.	0.25858969
89.	0.14173339
90.	0.15434604
91.	0.16312876
92.	0.17355432
93.	0.18733346
94.	0.19522011
95.	0.21112962
96.	0.21567571
97.	0.22934284
98.	0.2420938
99.	0.26005275
100.	0.12063468
101.	0.13006556
102.	0.14696363
103.	0.16699189
104.	0.1885438
105.	0.20439154
106.	0.21780348
107.	0.25085631
108.	0.26799924
109.	0.27826098
110.	0.29965997
111.	0.12516141
112.	0.13524951
113.	0.15042262
114.	0.16840975
115.	0.18830314
116.	0.2024596
117.	0.21638028
118.	0.24340516
119.	0.25979751
120.	0.27056998
121.	0.29122087
122.	0.12968814
123.	0.14043345
124.	0.15388161
125.	0.16982761
126.	0.18806249
127.	0.20052765
128.	0.21495707
129.	0.235954
130.	0.2515958
131.	0.26287901
132.	0.28278178
