Point	Temp_C
1	351
2	351
3	351
4	351
5	351
6	351
7	351
8	351
9	351
10	351
11	351
12	351
13	351
14	351
15	351
16	351
17	351
18	351
19	351
20	351
21	351
22	351
23	351
24	351
25	351
26	351
27	351
28	351
29	351
30	351
31	351
32	351
33	351
34	351
35	351
36	351
37	351
38	351
39	351
40	351
41	351
42	351
43	351
44	351
45	351
46	351
47	351
48	351
49	351
50	351
51	351
52	351
53	351
54	351
55	351
56	351
57	351
58	351
59	351
60	351
61	351
62	351
63	351
64	351
65	351
66	351
67	351
68	351
69	351
70	351
71	351
72	351
73	351
74	351
75	351
76	351
77	351
78	351
79	351
80	351
81	351
82	351
83	351
84	351
85	351
86	351
87	351
88	351
89	351
90	351
91	351
92	351
93	351
94	351
95	351
96	351
97	351
98	351
99	351
100	351
101	351
102	351
103	351
104	351
105	351
106	351
107	351
108	351
109	351
110	351
111	351
112	351
113	351
114	351
115	351
116	351
117	351
118	351
119	351
120	351
121	351
122	351
123	351
124	351
125	351
126	351
127	351
128	351
129	351
130	351
131	351
132	351
