Point	Zr_at
1.	0.091121995
2.	0.10729876
3.	0.12826051
4.	0.13682538
5.	0.14324743
6.	0.14828187
7.	0.15025553
8.	0.1402652
9.	0.14997391
10.	0.15235272
11.	0.14775981
12.	0.094505823
13.	0.10970183
14.	0.12840116
15.	0.13626394
16.	0.14166288
17.	0.14432593
18.	0.14684048
19.	0.1389527
20.	0.14779975
21.	0.14635235
22.	0.14354412
23.	0.097889648
24.	0.11210489
25.	0.1285418
26.	0.13570248
27.	0.14007835
28.	0.14036997
29.	0.14342542
30.	0.13764019
31.	0.14562559
32.	0.140352
33.	0.13932844
34.	0.1012042
35.	0.11591313
36.	0.13172343
37.	0.13690323
38.	0.13963707
39.	0.1332536
40.	0.14067008
41.	0.1371422
42.	0.14650917
43.	0.13114895
44.	0.13493146
45.	0.099277759
46.	0.11226121
47.	0.12497467
48.	0.13109093
49.	0.13361816
50.	0.12909352
51.	0.13341588
52.	0.13160281
53.	0.13826315
54.	0.12490889
55.	0.12746657
56.	0.099277759
57.	0.11226121
58.	0.12497467
59.	0.13109093
60.	0.13361816
61.	0.12909352
62.	0.13341588
63.	0.13160281
64.	0.13826315
65.	0.12490889
66.	0.12746657
67.	0.12469743
68.	0.1255938
69.	0.12398396
70.	0.13347383
71.	0.13846768
72.	0.1381105
73.	0.12505621
74.	0.133481
75.	0.1238613
76.	0.12011006
77.	0.11894927
78.	0.117769
79.	0.12063392
80.	0.11837091
81.	0.12672381
82.	0.12828712
83.	0.131551
84.	0.12238294
85.	0.12799048
86.	0.12209278
87.	0.11959788
88.	0.11700176
89.	0.11637472
90.	0.11951982
91.	0.11715642
92.	0.12540412
93.	0.12651629
94.	0.13028418
95.	0.12158534
96.	0.12684685
97.	0.12141485
98.	0.11907429
99.	0.11627104
100.	0.084050582
101.	0.096495867
102.	0.091054029
103.	0.093873657
104.	0.078741698
105.	0.099628114
106.	0.10937303
107.	0.10126998
108.	0.11348598
109.	0.11710524
110.	0.1075239
111.	0.090979024
112.	0.10145574
113.	0.096667089
114.	0.10062369
115.	0.088922263
116.	0.10618761
117.	0.11204629
118.	0.10676049
119.	0.11525451
120.	0.11761743
121.	0.10947141
122.	0.097907462
123.	0.10641561
124.	0.10228015
125.	0.10737371
126.	0.099102832
127.	0.11274711
128.	0.11471956
129.	0.11225101
130.	0.11702302
131.	0.11812961
132.	0.11141892
