Point	Ba_at
1.	0.45656429
2.	0.45599641
3.	0.45178302
4.	0.45606342
5.	0.45496991
6.	0.45698036
7.	0.45643986
8.	0.45740505
9.	0.45864293
10.	0.45934223
11.	0.45739081
12.	0.45510438
13.	0.45417751
14.	0.45013416
15.	0.45332531
16.	0.45256605
17.	0.45398151
18.	0.45412724
19.	0.45437874
20.	0.45491932
21.	0.45556401
22.	0.45442212
23.	0.45364446
24.	0.4523586
25.	0.44848529
26.	0.4505872
27.	0.45016219
28.	0.45098266
29.	0.45181462
30.	0.45135242
31.	0.45119567
32.	0.45178575
33.	0.45145344
34.	0.45108001
35.	0.44906777
36.	0.44552385
37.	0.44532926
38.	0.44595726
39.	0.44559078
40.	0.44841723
41.	0.44631062
42.	0.44483238
43.	0.44499187
44.	0.4472751
45.	0.45086537
46.	0.44888512
47.	0.44533996
48.	0.445336
49.	0.44555726
50.	0.44522733
51.	0.44738636
52.	0.44554405
53.	0.44403887
54.	0.44452346
55.	0.44575649
56.	0.45086537
57.	0.44888512
58.	0.44533996
59.	0.445336
60.	0.44555726
61.	0.44522733
62.	0.44738636
63.	0.44554405
64.	0.44403887
65.	0.44452346
66.	0.44575649
67.	0.44628204
68.	0.44501076
69.	0.44004827
70.	0.44304381
71.	0.4417403
72.	0.44106049
73.	0.44127891
74.	0.44041958
75.	0.43836694
76.	0.44155338
77.	0.44193258
78.	0.44941207
79.	0.44762531
80.	0.44391177
81.	0.44490769
82.	0.44356892
83.	0.44332222
84.	0.44298638
85.	0.44215802
86.	0.44049805
87.	0.44240345
88.	0.43997107
89.	0.4500053
90.	0.44814849
91.	0.444599
92.	0.44532881
93.	0.44398441
94.	0.44379534
95.	0.44338531
96.	0.44256045
97.	0.44095172
98.	0.44268756
99.	0.4398783
100.	0.46464478
101.	0.46034943
102.	0.46271409
103.	0.45397851
104.	0.45246829
105.	0.45432941
106.	0.45129619
107.	0.45061833
108.	0.45086945
109.	0.44654045
110.	0.43042511
111.	0.46151475
112.	0.45773488
113.	0.4588506
114.	0.45211464
115.	0.45063966
116.	0.45206764
117.	0.4495887
118.	0.44887993
119.	0.44873834
120.	0.44569037
121.	0.4323866
122.	0.45838474
123.	0.45512033
124.	0.45498712
125.	0.45025078
126.	0.44881103
127.	0.4498059
128.	0.44788121
129.	0.44714148
130.	0.44660725
131.	0.44484032
132.	0.43434811
