Point	Co_at
1.	0.016056916
2.	0.015739208
3.	0.016144888
4.	0.015188282
5.	0.014701494
6.	0.013221586
7.	0.013196858
8.	0.013102244
9.	0.011832037
10.	0.012155838
11.	0.010243049
12.	0.015653387
13.	0.015416858
14.	0.015544409
15.	0.014555643
16.	0.014126003
17.	0.012900945
18.	0.012543428
19.	0.012293835
20.	0.011299807
21.	0.011539608
22.	0.0098474684
23.	0.015249858
24.	0.015094508
25.	0.014943928
26.	0.013923004
27.	0.013550514
28.	0.012580305
29.	0.011889998
30.	0.011485425
31.	0.010767578
32.	0.010923378
33.	0.0094518875
34.	0.014403505
35.	0.014628364
36.	0.013756246
37.	0.01252877
38.	0.012680556
39.	0.012199392
40.	0.010816655
41.	0.010145917
42.	0.0098280151
43.	0.010332211
44.	0.0090431949
45.	0.014437591
46.	0.014439189
47.	0.013750771
48.	0.012667485
49.	0.012405438
50.	0.011927857
51.	0.010593924
52.	0.0098896026
53.	0.009705673
54.	0.0096990717
55.	0.0086539891
56.	0.014437591
57.	0.014439189
58.	0.013750771
59.	0.012667485
60.	0.012405438
61.	0.011927857
62.	0.010593924
63.	0.0098896026
64.	0.009705673
65.	0.0096990717
66.	0.0086539891
67.	0.014766053
68.	0.01375432
69.	0.014566579
70.	0.01375046
71.	0.011407838
72.	0.011209364
73.	0.010151472
74.	0.0088347876
75.	0.009824052
76.	0.007334522
77.	0.0065139112
78.	0.014729213
79.	0.01385392
80.	0.01396598
81.	0.01340426
82.	0.011493217
83.	0.011060984
84.	0.0099261429
85.	0.0090363283
86.	0.0094452119
87.	0.0074130322
88.	0.0072229605
89.	0.014593852
90.	0.013736149
91.	0.013754862
92.	0.01322669
93.	0.011371886
94.	0.010908159
95.	0.0097622516
96.	0.008928766
97.	0.0092604995
98.	0.0072879115
99.	0.0071818378
100.	0.014549922
101.	0.014338638
102.	0.01104306
103.	0.01171942
104.	0.011908731
105.	0.010338867
106.	0.008829538
107.	0.010017158
108.	0.007601524
109.	0.007795115
110.	0.01067367
111.	0.014586762
112.	0.014239038
113.	0.01164366
114.	0.01206562
115.	0.011823351
116.	0.010487247
117.	0.0090548681
118.	0.0098156171
119.	0.0079803641
120.	0.0077166049
121.	0.00996462
122.	0.014623603
123.	0.014139439
124.	0.01224426
125.	0.01241182
126.	0.011737972
127.	0.010635628
128.	0.0092801978
129.	0.0096140764
130.	0.0083592039
131.	0.0076380944
132.	0.0092555702
