Point	Fe_at
1.	0.0086346804
2.	0.0084361572
3.	0.0076481799
4.	0.010977204
5.	0.011683897
6.	0.013787236
7.	0.014172822
8.	0.015257427
9.	0.017829547
10.	0.025138886
11.	0.035696918
12.	0.0091162118
13.	0.0090847272
14.	0.0087998801
15.	0.011798695
16.	0.012400236
17.	0.014203845
18.	0.014861952
19.	0.015922047
20.	0.018590798
21.	0.024979076
22.	0.035069889
23.	0.0095977422
24.	0.0097332973
25.	0.0099515801
26.	0.012620186
27.	0.013116575
28.	0.014620454
29.	0.015551081
30.	0.016586666
31.	0.01935205
32.	0.024819268
33.	0.034442856
34.	0.010263709
35.	0.010650239
36.	0.011979249
37.	0.014228421
38.	0.014282759
39.	0.015080673
40.	0.016572984
41.	0.01730212
42.	0.02041126
43.	0.024233508
44.	0.03319599
45.	0.01049591
46.	0.010954486
47.	0.012145695
48.	0.014176247
49.	0.014469395
50.	0.015393956
51.	0.016851707
52.	0.017840077
53.	0.020792793
54.	0.024479931
55.	0.033201734
56.	0.01049591
57.	0.010954486
58.	0.012145695
59.	0.014176247
60.	0.014469395
61.	0.015393956
62.	0.016851707
63.	0.017840077
64.	0.020792793
65.	0.024479931
66.	0.033201734
67.	0.010876536
68.	0.011539994
69.	0.012248985
70.	0.013351406
71.	0.01475824
72.	0.015942937
73.	0.017344869
74.	0.019574271
75.	0.021914747
76.	0.024629393
77.	0.032167619
78.	0.011468916
79.	0.012195764
80.	0.012861704
81.	0.014039636
82.	0.01527403
83.	0.016658316
84.	0.01799113
85.	0.020004532
86.	0.022352176
87.	0.025463665
88.	0.033222987
89.	0.011415217
90.	0.012151033
91.	0.012811698
92.	0.014000534
93.	0.01521279
94.	0.016624681
95.	0.017949212
96.	0.01993521
97.	0.022285462
98.	0.025452091
99.	0.033246379
100.	0.01435183
101.	0.015387176
102.	0.015843608
103.	0.017389022
104.	0.017784206
105.	0.02013983
106.	0.021136265
107.	0.022098468
108.	0.024481001
109.	0.029523783
110.	0.038359118
111.	0.013759451
112.	0.014731406
113.	0.015230888
114.	0.016700792
115.	0.017268416
116.	0.01942445
117.	0.020490005
118.	0.021668205
119.	0.024043572
120.	0.02868951
121.	0.037303748
122.	0.013167071
123.	0.014075637
124.	0.014618168
125.	0.016012563
126.	0.016752626
127.	0.018709071
128.	0.019843744
129.	0.021237946
130.	0.023606143
131.	0.027855241
132.	0.036248379
