Point	Y_at
1.	0.04258235
2.	0.044180032
3.	0.05037043
4.	0.047829294
5.	0.053234641
6.	0.059357953
7.	0.060716782
8.	0.06511529
9.	0.06803168
10.	0.068783426
11.	0.071631201
12.	0.043089262
13.	0.04494647
14.	0.05063221
15.	0.05021163
16.	0.055505574
17.	0.060978374
18.	0.063073312
19.	0.068491459
20.	0.071715201
21.	0.073871552
22.	0.0767012
23.	0.043596173
24.	0.045712911
25.	0.050893992
26.	0.052593961
27.	0.057776512
28.	0.06259879
29.	0.065429841
30.	0.071867633
31.	0.075398725
32.	0.078959672
33.	0.081771192
34.	0.043196124
35.	0.04527527
36.	0.04941396
37.	0.05536769
38.	0.060485597
39.	0.064184547
40.	0.067183798
41.	0.076063313
42.	0.079990517
43.	0.087099896
44.	0.089319174
45.	0.044549306
46.	0.047168249
47.	0.051374379
48.	0.057175091
49.	0.06214314
50.	0.065708362
51.	0.06996329
52.	0.078373847
53.	0.082499878
54.	0.088777466
55.	0.091554424
56.	0.044549306
57.	0.047168249
58.	0.051374379
59.	0.057175091
60.	0.06214314
61.	0.065708362
62.	0.06996329
63.	0.078373847
64.	0.082499878
65.	0.088777466
66.	0.091554424
67.	0.047330699
68.	0.053050027
69.	0.057856748
70.	0.061986588
71.	0.066697507
72.	0.069089065
73.	0.079044431
74.	0.086130848
75.	0.091372529
76.	0.09322999
77.	0.096634945
78.	0.049583787
79.	0.054397445
80.	0.058899997
81.	0.063980542
82.	0.068406096
83.	0.071376772
84.	0.080560542
85.	0.087217599
86.	0.092146587
87.	0.095076676
88.	0.099818085
89.	0.049778508
90.	0.054474711
91.	0.058939851
92.	0.064150817
93.	0.068541415
94.	0.071591456
95.	0.080678741
96.	0.087283195
97.	0.09217394
98.	0.095249194
99.	0.10017228
100.	0.060548816
101.	0.060954881
102.	0.063977152
103.	0.073684431
104.	0.076721224
105.	0.08251028
106.	0.087938955
107.	0.092506469
108.	0.095913687
109.	0.10406386
110.	0.11530941
111.	0.058295733
112.	0.059607464
113.	0.0629339
114.	0.071690478
115.	0.075012637
116.	0.080222578
117.	0.086422843
118.	0.091419705
119.	0.095139629
120.	0.10221719
121.	0.11212626
122.	0.056042643
123.	0.058260046
124.	0.061890651
125.	0.069696531
126.	0.073304046
127.	0.077934865
128.	0.084906732
129.	0.090332954
130.	0.094365568
131.	0.1003705
132.	0.10894311
