Point	Zr_at
1.	0.47616177
2.	0.4756482
3.	0.47405349
4.	0.46994179
5.	0.46541005
6.	0.45665287
7.	0.45547367
8.	0.44911999
9.	0.4436638
10.	0.43457962
11.	0.42503802
12.	0.47703675
13.	0.47637444
14.	0.47488934
15.	0.47010872
16.	0.46540213
17.	0.45793533
18.	0.45539406
19.	0.44891392
20.	0.44347488
21.	0.43404576
22.	0.42395932
23.	0.47791177
24.	0.47710069
25.	0.4757252
26.	0.47027565
27.	0.4653942
28.	0.45921779
29.	0.45531446
30.	0.44870785
31.	0.44328597
32.	0.43351193
33.	0.42288063
34.	0.48105666
35.	0.48037835
36.	0.47932669
37.	0.47254586
38.	0.46659382
39.	0.4629446
40.	0.45700934
41.	0.45017803
42.	0.44493782
43.	0.43334251
44.	0.42116654
45.	0.47965182
46.	0.47855295
47.	0.47738919
48.	0.47064518
49.	0.46542477
50.	0.46174249
51.	0.45520472
52.	0.44835242
53.	0.44296278
54.	0.43252007
55.	0.42083336
56.	0.47965182
57.	0.47855295
58.	0.47738919
59.	0.47064518
60.	0.46542477
61.	0.46174249
62.	0.45520472
63.	0.44835242
64.	0.44296278
65.	0.43252007
66.	0.42083336
67.	0.48074467
68.	0.4766449
69.	0.47527941
70.	0.46786773
71.	0.46539612
72.	0.46269814
73.	0.45218032
74.	0.44504051
75.	0.43852174
76.	0.43325272
77.	0.42275095
78.	0.47480601
79.	0.47192757
80.	0.47036055
81.	0.46366788
82.	0.46125774
83.	0.45758171
84.	0.44853581
85.	0.44158353
86.	0.43555798
87.	0.42964317
88.	0.41976489
89.	0.47420713
90.	0.47148961
91.	0.46989459
92.	0.46329315
93.	0.4608895
94.	0.45708037
95.	0.44822449
96.	0.44129238
97.	0.43532838
98.	0.42932325
99.	0.4195212
100.	0.44590466
101.	0.44896988
102.	0.44642209
103.	0.44322862
104.	0.44111754
105.	0.43268162
106.	0.43079905
107.	0.42475957
108.	0.42113434
109.	0.4120768
110.	0.4052327
111.	0.45184331
112.	0.45368722
113.	0.45134095
114.	0.44742847
115.	0.44525594
116.	0.43779808
117.	0.43444359
118.	0.42821655
119.	0.4240981
120.	0.41568633
121.	0.40821877
122.	0.45778194
123.	0.45840455
124.	0.45625981
125.	0.4516283
126.	0.44939433
127.	0.44291453
128.	0.43808812
129.	0.43167354
130.	0.42706184
131.	0.41929585
132.	0.41120483
