Point	x_mm
1	0
2	-4
3	-8
4	-12
5	-16
6	-20
7	-24
8	-28
9	-32
10	-36
11	-40
12	0
13	-4
14	-8
15	-12
16	-16
17	-20
18	-24
19	-28
20	-32
21	-36
22	-40
23	0
24	-4
25	-8
26	-12
27	-16
28	-20
29	-24
30	-28
31	-32
32	-36
33	-40
34	0
35	-4
36	-8
37	-12
38	-16
39	-20
40	-24
41	-28
42	-32
43	-36
44	-40
45	0
46	-4
47	-8
48	-12
49	-16
50	-20
51	-24
52	-28
53	-32
54	-36
55	-40
56	0
57	-4
58	-8
59	-12
60	-16
61	-20
62	-24
63	-28
64	-32
65	-36
66	-40
67	0
68	-4
69	-8
70	-12
71	-16
72	-20
73	-24
74	-28
75	-32
76	-36
77	-40
78	0
79	-4
80	-8
81	-12
82	-16
83	-20
84	-24
85	-28
86	-32
87	-36
88	-40
89	0
90	-4
91	-8
92	-12
93	-16
94	-20
95	-24
96	-28
97	-32
98	-36
99	-40
100	0
101	-4
102	-8
103	-12
104	-16
105	-20
106	-24
107	-28
108	-32
109	-36
110	-40
111	0
112	-4
113	-8
114	-12
115	-16
116	-20
117	-24
118	-28
119	-32
120	-36
121	-40
122	0
123	-4
124	-8
125	-12
126	-16
127	-20
128	-24
129	-28
130	-32
131	-36
132	-40
