Point	y_mm
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	3.75
13	3.75
14	3.75
15	3.75
16	3.75
17	3.75
18	3.75
19	3.75
20	3.75
21	3.75
22	3.75
23	7.5
24	7.5
25	7.5
26	7.5
27	7.5
28	7.5
29	7.5
30	7.5
31	7.5
32	7.5
33	7.5
34	11.5
35	11.5
36	11.5
37	11.5
38	11.5
39	11.5
40	11.5
41	11.5
42	11.5
43	11.5
44	11.5
45	15.25
46	15.25
47	15.25
48	15.25
49	15.25
50	15.25
51	15.25
52	15.25
53	15.25
54	15.25
55	15.25
56	19
57	19
58	19
59	19
60	19
61	19
62	19
63	19
64	19
65	19
66	19
67	23
68	23
69	23
70	23
71	23
72	23
73	23
74	23
75	23
76	23
77	23
78	26.75
79	26.75
80	26.75
81	26.75
82	26.75
83	26.75
84	26.75
85	26.75
86	26.75
87	26.75
88	26.75
89	30.5
90	30.5
91	30.5
92	30.5
93	30.5
94	30.5
95	30.5
96	30.5
97	30.5
98	30.5
99	30.5
100	34.5
101	34.5
102	34.5
103	34.5
104	34.5
105	34.5
106	34.5
107	34.5
108	34.5
109	34.5
110	34.5
111	38.25
112	38.25
113	38.25
114	38.25
115	38.25
116	38.25
117	38.25
118	38.25
119	38.25
120	38.25
121	38.25
122	42
123	42
124	42
125	42
126	42
127	42
128	42
129	42
130	42
131	42
132	42
