Point	ASR
1	21265440
2	4232668
3	3908769.5
4	3616601.5
5	3178663.5
6	2747322.8
7	2244668
8	2168641.5
9	2263580.2
10	3477114.8
11	4446610
12	3142598
13	1809243.2
14	1615878.1
15	1460337.9
16	1188872.9
17	1274072.9
18	1224027.4
19	1420816.8
20	1765575.1
21	2221106
22	2261318.5
23	2575477.8
24	1526499.9
25	6411676.5
26	6344446.5
27	1034400.8
28	8041220.5
29	1110238.9
30	1118407
31	1054318.5
32	1248468.9
33	1392668
34	1225849.5
35	1047407
36	930539.75
37	840963.5
38	744180.44
39	820081.38
40	847853
41	786026.5
42	94529264
43	1050485.8
44	1199145.9
45	1124972.9
46	985297.69
47	822783.12
48	4259999.5
49	729402.44
50	694637.56
51	644063.25
52	745531.38
53	775345.06
54	870252.56
55	1035374.7
56	1171971.1
57	1010304.8
58	894694.19
59	917659.19
60	788382.69
61	796557.12
62	703214.12
63	778455.25
64	907574.69
65	1191229.1
66	23772746
67	1183186.6
68	912946.81
69	778810.25
70	698635.56
71	619082.25
72	639471.19
73	601992
74	647827.81
75	696707.88
76	920329.56
77	1341271.6
78	1211900.8
79	885391.94
80	731771.19
81	709971.69
82	649681.38
83	599133.12
84	593949.5
85	684521.62
86	686469.44
87	815934.44
88	1487858.2
89	1085106.1
90	781741.38
91	633690.62
92	704722.06
93	746725.19
94	1725991
95	616600.38
96	600295.5
97	689642.44
98	847476.06
99	7152558
100	971537.5
101	4405141
102	3114260.8
103	684788.69
104	632151.25
105	576136.69
106	14680662
107	14273826
108	13456384
109	14546831
110	9.3452326e+08
111	1026358.3
112	1011718.5
113	813861
114	740316.31
115	4794070.5
116	16020238
117	15109804
118	37454068
119	15962432
120	14866645
121	13599326
122	1540951.2
123	4040402.2
124	1148817.6
125	886463.19
126	947441.5
127	14385667
128	6362919
129	15278508
130	13718078
131	14285450
132	5.5881866e+09
