Point	Ba_at
1.	0.54313464
2.	0.52344675
3.	0.50987872
4.	0.50558542
5.	0.49232794
6.	0.49371576
7.	0.48101604
8.	0.48810971
9.	0.48684091
10.	0.48534349
11.	0.48544808
12.	0.53949129
13.	0.5220276
14.	0.50916928
15.	0.50437211
16.	0.49208623
17.	0.49278664
18.	0.48194438
19.	0.4868793
20.	0.484505
21.	0.48392993
22.	0.48492406
23.	0.53584791
24.	0.52060843
25.	0.50845982
26.	0.50315879
27.	0.49184452
28.	0.49185752
29.	0.48287272
30.	0.48564887
31.	0.4821691
32.	0.48251638
33.	0.48440003
34.	0.52895671
35.	0.51944377
36.	0.50582832
37.	0.50075894
38.	0.48917614
39.	0.48993525
40.	0.48264198
41.	0.48527926
42.	0.47707615
43.	0.48214527
44.	0.48856674
45.	0.54804631
46.	0.53646676
47.	0.52505961
48.	0.51841718
49.	0.50842913
50.	0.50703616
51.	0.50132679
52.	0.49984756
53.	0.49390179
54.	0.49615694
55.	0.49997126
56.	0.54804631
57.	0.53646676
58.	0.52505961
59.	0.51841718
60.	0.50842913
61.	0.50703616
62.	0.50132679
63.	0.49984756
64.	0.49390179
65.	0.49615694
66.	0.49997126
67.	0.52994473
68.	0.51226348
69.	0.51099354
70.	0.50045431
71.	0.49870054
72.	0.48891574
73.	0.49377175
74.	0.46994225
75.	0.47687277
76.	0.46761262
77.	0.46082136
78.	0.52842032
79.	0.51184702
80.	0.51182342
81.	0.5009545
82.	0.49970845
83.	0.49035402
84.	0.49261259
85.	0.47488356
86.	0.47951898
87.	0.4703365
88.	0.46315362
89.	0.52977951
90.	0.51327576
91.	0.51341903
92.	0.50245417
93.	0.50127022
94.	0.49192892
95.	0.49385025
96.	0.4768541
97.	0.48120411
98.	0.47198835
99.	0.46471879
100.	0.52100152
101.	0.50982034
102.	0.51586216
103.	0.50338877
104.	0.50461357
105.	0.49735372
106.	0.48697131
107.	0.49893126
108.	0.49239718
109.	0.48359272
110.	0.47450391
111.	0.52252593
112.	0.51023679
113.	0.51503229
114.	0.50288857
115.	0.50360567
116.	0.49591541
117.	0.48813048
118.	0.49398995
119.	0.48975097
120.	0.48086884
121.	0.47217166
122.	0.52405035
123.	0.51065321
124.	0.5142024
125.	0.50238838
126.	0.50259776
127.	0.49447713
128.	0.48928964
129.	0.48904866
130.	0.48710477
131.	0.47814497
132.	0.4698394
