Point	Co_at
1.	0.15710457
2.	0.14918117
3.	0.14528244
4.	0.13860726
5.	0.13370593
6.	0.12898277
7.	0.13073477
8.	0.12701176
9.	0.126252
10.	0.12115042
11.	0.11537246
12.	0.15976037
13.	0.1507515
14.	0.14489546
15.	0.13707314
16.	0.13192077
17.	0.12647575
18.	0.1269135
19.	0.12305019
20.	0.12161557
21.	0.11695294
22.	0.11140836
23.	0.16241618
24.	0.15232182
25.	0.1445085
26.	0.13553903
27.	0.13013561
28.	0.12396874
29.	0.12309223
30.	0.11908863
31.	0.11697915
32.	0.11275546
33.	0.10744425
34.	0.16895711
35.	0.15522992
36.	0.14265127
37.	0.13111033
38.	0.12590361
39.	0.11773613
40.	0.11490545
41.	0.11188585
42.	0.10883603
43.	0.10502473
44.	0.10063209
45.	0.16565176
46.	0.15274524
47.	0.14046911
48.	0.1286271
49.	0.12239374
50.	0.11438871
51.	0.11077129
52.	0.10624631
53.	0.10263229
54.	0.099059715
55.	0.093915263
56.	0.16565176
57.	0.15274524
58.	0.14046911
59.	0.1286271
60.	0.12239374
61.	0.11438871
62.	0.11077129
63.	0.10624631
64.	0.10263229
65.	0.099059715
66.	0.093915263
67.	0.15074272
68.	0.1443975
69.	0.13815849
70.	0.12984362
71.	0.12252318
72.	0.12113312
73.	0.11885565
74.	0.11113519
75.	0.11019856
76.	0.11188515
77.	0.10501175
78.	0.16080059
79.	0.15450229
80.	0.14686517
81.	0.13721593
82.	0.12884422
83.	0.12406112
84.	0.11878661
85.	0.10984664
86.	0.10548731
87.	0.10418817
88.	0.097505106
89.	0.16196142
90.	0.15563943
91.	0.14777864
92.	0.1379047
93.	0.12935231
94.	0.12409188
95.	0.11839076
96.	0.10924485
97.	0.10440624
98.	0.10270092
99.	0.096011543
100.	0.20974885
101.	0.20367895
102.	0.18923774
103.	0.17309448
104.	0.15960661
105.	0.13831073
106.	0.11845066
107.	0.10357568
108.	0.082559242
109.	0.066729553
110.	0.060972826
111.	0.19969099
112.	0.19357416
113.	0.18053105
114.	0.16572218
115.	0.15328556
116.	0.13538273
117.	0.11851969
118.	0.10486424
119.	0.08727049
120.	0.074426531
121.	0.068479456
122.	0.18963313
123.	0.18346937
124.	0.17182436
125.	0.15834988
126.	0.14696452
127.	0.13245472
128.	0.11858872
129.	0.10615279
130.	0.091981739
131.	0.08212351
132.	0.075986096
