Point	Y_at
1.	0.018279681
2.	0.032804583
3.	0.032249105
4.	0.035750727
5.	0.041363434
6.	0.042484012
7.	0.049146157
8.	0.053726711
9.	0.047390037
10.	0.049864821
11.	0.055815252
12.	0.017791333
13.	0.030260053
14.	0.031997267
15.	0.036006453
16.	0.040609632
17.	0.041972487
18.	0.04659424
19.	0.050908868
20.	0.045598894
21.	0.04833338
22.	0.05080817
23.	0.017302986
24.	0.027715525
25.	0.03174543
26.	0.03626218
27.	0.039855828
28.	0.041460964
29.	0.044042323
30.	0.04809102
31.	0.043807757
32.	0.04680194
33.	0.045801081
34.	0.016688421
35.	0.023178437
36.	0.033248387
37.	0.039506967
38.	0.042775272
39.	0.044557374
40.	0.043598144
41.	0.043283153
42.	0.042273309
43.	0.046718842
44.	0.037121945
45.	0.0056118267
46.	0.012425802
47.	0.021383484
48.	0.02720328
49.	0.028941254
50.	0.031136144
51.	0.029692955
52.	0.033434375
53.	0.03100157
54.	0.034702445
55.	0.026530194
56.	0.0056118267
57.	0.012425802
58.	0.021383484
59.	0.02720328
60.	0.028941254
61.	0.031136144
62.	0.029692955
63.	0.033434375
64.	0.03100157
65.	0.034702445
66.	0.026530194
67.	0.012477981
68.	0.021930629
69.	0.025297079
70.	0.027117988
71.	0.019620883
72.	0.025142143
73.	0.018970964
74.	0.04658837
75.	0.0368286
76.	0.032883327
77.	0.031273022
78.	0.014783815
79.	0.021396773
80.	0.02380435
81.	0.026288761
82.	0.021335961
83.	0.024804173
84.	0.021503534
85.	0.040935494
86.	0.033386778
87.	0.032786071
88.	0.032152551
89.	0.014211016
90.	0.020475026
91.	0.022765604
92.	0.025350732
93.	0.020715208
94.	0.02392489
95.	0.020993098
96.	0.039420977
97.	0.032132532
98.	0.031977034
99.	0.031471355
100.	0.026005547
101.	0.018798674
102.	0.01653973
103.	0.022253191
104.	0.029682671
105.	0.02315939
106.	0.033828701
107.	0.013424845
108.	0.016636573
109.	0.032312769
110.	0.036432944
111.	0.023699713
112.	0.01933253
113.	0.018032461
114.	0.023082418
115.	0.027967595
116.	0.02349736
117.	0.031296134
118.	0.019077718
119.	0.020078395
120.	0.032410022
121.	0.035553411
122.	0.021393877
123.	0.019866385
124.	0.01952519
125.	0.023911647
126.	0.026252516
127.	0.02383533
128.	0.028763564
129.	0.024730591
130.	0.023520218
131.	0.032507278
132.	0.034673878
