Point	Row	Column	Pos_111
1	1	1	38.152069
2	1	2	38.167503
3	1	3	
4	1	4	
5	1	5	
6	1	6	38.185047
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	38.195023
13	2	2	38.192657
14	2	3	
15	2	4	
16	2	5	
17	2	6	38.209213
18	2	7	38.238186
19	2	8	
20	2	9	38.226475
21	2	10	38.20816
22	2	11	
23	3	1	38.185627
24	3	2	38.191936
25	3	3	
26	3	4	
27	3	5	38.21637
28	3	6	38.226265
29	3	7	
30	3	8	38.240841
31	3	9	38.217487
32	3	10	38.243015
33	3	11	
34	4	1	38.184669
35	4	2	
36	4	3	
37	4	4	
38	4	5	38.200638
39	4	6	38.224033
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
