FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01141,1,1,1,,,,,,,,,,,5.4000001,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,2,1,2,,,,,,,,,,,9.397999800000001,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,3,1,3,4.1255841,0.91581863,,,2860.1921,,,30.609040999999998,,,13.39599,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,4,1,4,4.1324272,0.7312004,,,3052.9465,,,30.557116999999998,,,17.39599,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,5,1,5,4.1302867,0.76765287,,,3059.9319,,,30.573339,,,21.391991,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,6,1,6,,,,,,,,,,,25.389999,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,7,1,7,,,,,,,,,,,29.38802,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,8,1,8,,,,,,,,,,,33.386009,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,9,1,9,,,,,,,,,,,37.384009999999996,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,10,1,10,4.1256394,0.8496690999999998,0.9145574000000001,,3538.3555,203.9184,,30.608620000000002,37.821518,,41.384009999999996,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
