FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01142,1,1,1,4.0460277,0.79555196,0.94387114,1110.1582,271.30664,31.226095,38.325951,5.4000001,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,2,1,2,4.0457864,0.83607477,0.73417163,1140.1139,241.51242000000002,31.228004,38.352402000000005,9.397999800000001,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,3,1,3,4.0438256,0.81630725,0.78189909,1116.4159,287.85193,31.243532000000002,38.324932000000004,13.39599,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,4,1,4,4.0433755,0.7887006999999999,0.9264378000000001,1250.1487,233.39997999999997,31.247099,38.34861,17.39599,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,5,1,5,4.0430508000000005,0.77228439,,1235.6729,,31.249676,,21.391991,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,6,1,6,4.039635700000001,0.76209491,,1270.7468,,31.276770000000003,,25.389999,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,7,1,7,4.042104699999999,0.76866293,,1205.7905,,31.257175,,29.38802,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,8,1,8,4.0415101,0.79157585,,1166.8453,,31.261892,,33.386009,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,9,1,9,4.0426283,0.77628148,,1049.0884,,31.253021,,37.384009999999996,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,10,1,10,4.0435987,0.78916031,,972.96875,,31.245333000000002,,41.384009999999996,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
