Point	Row	Column	110_s_Area
1	1	1	0.92018175
2	1	2	0.91776562
3	1	3	0.91728419
4	1	4	0.92629576
5	1	5	0.92362887
6	1	6	0.92689836
7	1	7	0.92772794
8	1	8	0.92959219
9	1	9	0.93275034
10	1	10	0.94357884
11	1	11	0.95751929
12	2	1	0.88592052
13	2	2	0.88122827
14	2	3	0.87954861
15	2	4	0.88137245
16	2	5	0.88212514
17	2	6	0.88439667
18	2	7	0.88720089
19	2	8	0.8916741
20	2	9	0.89795542
21	2	10	0.91003621
22	2	11	0.92358488
23	3	1	0.87376618
24	3	2	0.87146842
25	3	3	0.87060207
26	3	4	0.87188411
27	3	5	0.87517852
28	3	6	0.87023163
29	3	7	0.87140846
30	3	8	0.87504852
31	3	9	0.87634242
32	3	10	0.88104469
33	3	11	0.89469606
34	4	1	0.89162004
35	4	2	0.8906948
36	4	3	0.88976586
37	4	4	0.88697559
38	4	5	0.88300979
39	4	6	0.88307941
40	4	7	0.87812215
41	4	8	0.87575841
42	4	9	0.87588972
43	4	10	0.8818624
44	4	11	0.89510113
