Point	Row	Column	Norm_Int110
1	1	1	13.799842
2	1	2	14.328622
3	1	3	11.235868
4	1	4	10.404219
5	1	5	10.031094
6	1	6	9.237154
7	1	7	10.119762
8	1	8	11.372957
9	1	9	11.959875
10	1	10	10.69972
11	1	11	14.851222
12	2	1	12.763475
13	2	2	9.4142551
14	2	3	9.2123327
15	2	4	9.1457596
16	2	5	8.2452259
17	2	6	6.8402896
18	2	7	5.8066645
19	2	8	6.416616
20	2	9	8.1329203
21	2	10	9.4657087
22	2	11	10.893534
23	3	1	10.28874
24	3	2	9.2537222
25	3	3	3.4601884
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	9.6191406
