Point	Row	Column	Ratio_111_110
1	1	1	0.63551545
2	1	2	0.55979466
3	1	3	1.2883058
4	1	4	1.6272377
5	1	5	1.574054
6	1	6	1.690784
7	1	7	1.4541905
8	1	8	0.95975268
9	1	9	0.51966244
10	1	10	0.24312465
11	1	11	0.31739688
12	2	1	1.0482937
13	2	2	1.8495638
14	2	3	1.9172647
15	2	4	1.7671536
16	2	5	1.5428948
17	2	6	1.4195112
18	2	7	1.5098491
19	2	8	1.6243049
20	2	9	1.5837156
21	2	10	1.5700749
22	2	11	1.0300561
23	3	1	1.5646993
24	3	2	1.3055238
25	3	3	1.1228755
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	1.1147521
