Point	Row	Column	Zr_at
1	1	1	0.074877664
2	1	2	0.074207641
3	1	3	0.073364146
4	1	4	0.070351809
5	1	5	0.068727888
6	1	6	0.067693636
7	1	7	0.065380283
8	1	8	0.064329125
9	1	9	0.061032392
10	1	10	0.058696289
11	1	11	0.056931902
12	2	1	0.090425655
13	2	2	0.091215514
14	2	3	0.092168458
15	2	4	0.090469562
16	2	5	0.090987071
17	2	6	0.086970307
18	2	7	0.084566385
19	2	8	0.082004137
20	2	9	0.078708187
21	2	10	0.071804971
22	2	11	0.067240506
23	3	1	0.096386395
24	3	2	0.096088715
25	3	3	0.096733734
26	3	4	0.095303826
27	3	5	0.094267771
28	3	6	0.094565533
29	3	7	0.093540199
30	3	8	0.09142188
31	3	9	0.089369096
32	3	10	0.085221685
33	3	11	0.0818225
34	4	1	0.08436691
35	4	2	0.084732696
36	4	3	0.084773615
37	4	4	0.084929675
38	4	5	0.087826125
39	4	6	0.085271366
40	4	7	0.087908141
41	4	8	0.087841064
42	4	9	0.085663684
43	4	10	0.085127264
44	4	11	0.085006721
