Point	Row	Column	_s_MaxIntensity
1	1	1	0.069937095
2	1	2	0.066180862
3	1	3	0.064012468
4	1	4	0.066999406
5	1	5	0.061084628
6	1	6	0.062285662
7	1	7	0.058488514
8	1	8	0.058250472
9	1	9	0.05481514
10	1	10	0.060971439
11	1	11	0.071383096
12	2	1	0.066771843
13	2	2	0.063659281
14	2	3	0.063885503
15	2	4	0.06231159
16	2	5	0.064099304
17	2	6	0.058337282
18	2	7	0.056333676
19	2	8	0.055682391
20	2	9	0.055371795
21	2	10	0.053646162
22	2	11	0.058065884
23	3	1	0.066539004
24	3	2	0.063645862
25	3	3	0.064069562
26	3	4	0.062491778
27	3	5	0.06371405
28	3	6	0.059362717
29	3	7	0.058488872
30	3	8	0.057892296
31	3	9	0.055080578
32	3	10	0.051488049
33	3	11	0.058341045
34	4	1	0.060353849
35	4	2	0.060160216
36	4	3	0.059313063
37	4	4	0.056834958
38	4	5	0.058662049
39	4	6	0.053622112
40	4	7	0.053938452
41	4	8	0.051440518
42	4	9	0.047217093
43	4	10	0.052116901
44	4	11	0.065114565
