Point	Row	Column	d_um
1	1	1	0.22209001
2	1	2	0.22396
3	1	3	0.22077
4	1	4	0.21198
5	1	5	0.20205
6	1	6	0.18720999
7	1	7	0.17217
8	1	8	0.15439001
9	1	9	0.13685
10	1	10	0.12036
11	1	11	0.10655
12	2	1	0.33989
13	2	2	0.34924999
14	2	3	0.34737
15	2	4	0.33614001
16	2	5	0.31437001
17	2	6	0.28861001
18	2	7	0.25871
19	2	8	0.22706001
20	2	9	0.19663
21	2	10	0.16711999
22	2	11	0.14311001
23	3	1	0.30171999
24	3	2	0.31062001
25	3	3	0.31266999
26	3	4	0.30735999
27	3	5	0.29271999
28	3	6	0.27491
29	3	7	0.25040999
30	3	8	0.22384
31	3	9	0.19682001
32	3	10	0.17016999
33	3	11	0.14655
34	4	1	0.16780999
35	4	2	0.1742
36	4	3	0.17747
37	4	4	0.17798001
38	4	5	0.17569
39	4	6	0.16949999
40	4	7	0.16101
41	4	8	0.15057001
42	4	9	0.13883001
43	4	10	0.12588
44	4	11	0.1124
