Point	Row	Column	Fe_at
1	1	1	0.15639348
2	1	2	0.1646625
3	1	3	0.17252342
4	1	4	0.1804374
5	1	5	0.18937559
6	1	6	0.1966877
7	1	7	0.2032467
8	1	8	0.21216699
9	1	9	0.2178297
10	1	10	0.2259707
11	1	11	0.23365112
12	2	1	0.13924401
13	2	2	0.1456199
14	2	3	0.1524439
15	2	4	0.15741381
16	2	5	0.1661686
17	2	6	0.1744155
18	2	7	0.1785187
19	2	8	0.1832087
20	2	9	0.19023532
21	2	10	0.1966494
22	2	11	0.2055762
23	3	1	0.1312952
24	3	2	0.13458531
25	3	3	0.13779379
26	3	4	0.14245769
27	3	5	0.14520679
28	3	6	0.1484832
29	3	7	0.1523129
30	3	8	0.15630431
31	3	9	0.1623213
32	3	10	0.1650441
33	3	11	0.17305768
34	4	1	0.13088159
35	4	2	0.1329204
36	4	3	0.1305739
37	4	4	0.1339903
38	4	5	0.13329519
39	4	6	0.13596588
40	4	7	0.13549741
41	4	8	0.13775972
42	4	9	0.13934201
43	4	10	0.1455528
44	4	11	0.15400989
