Point	Row	Column	Norm_d
1	1	1	0.22467124
2	1	2	0.35221159
3	1	3	0.45793486
4	1	4	0.53907651
5	1	5	0.60452777
6	1	6	0.62544829
7	1	7	0.61326957
8	1	8	0.56694561
9	1	9	0.46555588
10	1	10	0.35774058
11	1	11	0.21944113
12	2	1	0.52906454
13	2	2	0.68918109
14	2	3	0.81888825
15	2	4	0.9326061
16	2	5	0.99118352
17	2	6	1
18	2	7	0.96951586
19	2	8	0.88702929
20	2	9	0.74618948
21	2	10	0.59765393
22	2	11	0.4154214
23	3	1	0.42214584
24	3	2	0.58667064
25	3	3	0.71660191
26	3	4	0.81418109
27	3	5	0.88732815
28	3	6	0.90787506
29	3	7	0.87529886
30	3	8	0.77704722
31	3	9	0.66131204
32	3	10	0.50687391
33	3	11	0.34429169
34	4	1	0
35	4	2	0.12559773
36	4	3	0.24066049
37	4	4	0.31911236
38	4	5	0.38037956
39	4	6	0.4112373
40	4	7	0.40354154
41	4	8	0.36640766
42	4	9	0.29609981
43	4	10	0.18992828
44	4	11	0.063508667
