Point	Row	Column	_s_Area
1	1	1	0.37049377
2	1	2	0.36430991
3	1	3	0.35941383
4	1	4	0.35471269
5	1	5	0.35089219
6	1	6	0.34672821
7	1	7	0.34238219
8	1	8	0.34346339
9	1	9	0.3417061
10	1	10	0.3439247
11	1	11	0.34765533
12	2	1	0.3573955
13	2	2	0.35263079
14	2	3	0.34697881
15	2	4	0.33841252
16	2	5	0.33377931
17	2	6	0.33150679
18	2	7	0.32387081
19	2	8	0.32018939
20	2	9	0.32087472
21	2	10	0.32051969
22	2	11	0.325306
23	3	1	0.34458199
24	3	2	0.33451512
25	3	3	0.32683009
26	3	4	0.31910399
27	3	5	0.31183729
28	3	6	0.30269489
29	3	7	0.29659429
30	3	8	0.29451272
31	3	9	0.2933135
32	3	10	0.29119101
33	3	11	0.29533848
34	4	1	0.32897657
35	4	2	0.3207716
36	4	3	0.30634061
37	4	4	0.29883119
38	4	5	0.28732687
39	4	6	0.28172377
40	4	7	0.27357611
41	4	8	0.27092612
42	4	9	0.26696894
43	4	10	0.2690486
44	4	11	0.27203479
