Point	Row	Column	_s_Position
1	1	1	0.28893912
2	1	2	0.27400765
3	1	3	0.25999334
4	1	4	0.24565698
5	1	5	0.23015131
6	1	6	0.21636616
7	1	7	0.20318741
8	1	8	0.19113594
9	1	9	0.18126161
10	1	10	0.17148231
11	1	11	0.16396154
12	2	1	0.3051962
13	2	2	0.29352358
14	2	3	0.28032678
15	2	4	0.26742318
16	2	5	0.25108013
17	2	6	0.23693526
18	2	7	0.22439829
19	2	8	0.21390574
20	2	9	0.20356762
21	2	10	0.19323352
22	2	11	0.18402642
23	3	1	0.30948627
24	3	2	0.29883525
25	3	3	0.28919658
26	3	4	0.27678484
27	3	5	0.26717538
28	3	6	0.25473124
29	3	7	0.24323022
30	3	8	0.23463912
31	3	9	0.22329725
32	3	10	0.21660508
33	3	11	0.20701805
34	4	1	0.30107763
35	4	2	0.29281145
36	4	3	0.28688118
37	4	4	0.27580938
38	4	5	0.26804259
39	4	6	0.25868937
40	4	7	0.25235885
41	4	8	0.24576148
42	4	9	0.23902953
43	4	10	0.22950463
44	4	11	0.21692978
