Point	Row	Column	_s_Sigma
1	1	1	0.057907995
2	1	2	0.059643399
3	1	3	0.060432207
4	1	4	0.066402197
5	1	5	0.069822803
6	1	6	0.073434398
7	1	7	0.073120601
8	1	8	0.073692001
9	1	9	0.073400803
10	1	10	0.073016196
11	1	11	0.077017009
12	2	1	0.061722402
13	2	2	0.068145797
14	2	3	0.071499601
15	2	4	0.080347411
16	2	5	0.084611997
17	2	6	0.084317602
18	2	7	0.091505997
19	2	8	0.091104597
20	2	9	0.08979141
21	2	10	0.092323199
22	2	11	0.096552603
23	3	1	0.070675001
24	3	2	0.083507605
25	3	3	0.089874201
26	3	4	0.095288597
27	3	5	0.098701403
28	3	6	0.111885
29	3	7	0.1122452
30	3	8	0.12007421
31	3	9	0.1213242
32	3	10	0.1217314
33	3	11	0.12706639
34	4	1	0.07956019
35	4	2	0.091153599
36	4	3	0.1028986
37	4	4	0.1139206
38	4	5	0.12165279
39	4	6	0.12804478
40	4	7	0.1364712
41	4	8	0.13504361
42	4	9	0.14346862
43	4	10	0.13965739
44	4	11	0.1471412
