FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.79311Co0.88262Fe0.0Y0.0Zr0.11738O3,01201,1,1,1,0.18059,8.787111300000001,5.4000001,44.14201,0.8900022839677514,2.150005517450186,1.4900038237212916,137.32735241622404,1.8154409999999999,1.3734760000000001,0.7790931666666667,62.723489690899996,0.7931079646820058,0.4902402688755798,1.5653753814774964,1.912484780345643,2.1894086743733534
Ba0.79139Co0.88451Fe0.0Y0.0Zr0.11549O3,01201,2,1,2,0.18492,9.126956,9.397999800000001,44.14201,0.8899975231054192,2.1499940164906195,1.489995853288848,137.3266178151662,1.8164805,1.3730980000000002,0.7789199166666667,62.66246006945,0.7913922024663568,0.48995710281801497,1.5657979375766473,1.9128999290006359,2.1915293089828345
Ba0.79237Co0.88503Fe0.0Y0.0Zr0.11497O3,01201,3,1,3,0.18550999,9.9667587,13.398,44.14201,0.8900037468392914,2.150009051353344,1.4900062727983643,137.32757813730265,1.8167664999999997,1.372994,0.77887225,62.645668850849994,0.7923666641903926,0.4898833982458899,1.5659274922930064,1.913030375390013,2.192132044503494
Ba0.80068Co0.89038Fe0.0Y0.0Zr0.10962O3,01201,4,1,4,0.18235999,10.848111,17.39398,44.14201,0.8900005612793419,2.1500013558995335,1.4900009396699094,137.32708660540246,1.819709,1.371924,0.7783818333333333,62.4729130441,0.800679495050719,0.4890894979798099,1.5671431915321357,1.9142288217199863,2.1981860603884833
Ba0.80238Co0.8895Fe0.0Y0.0Zr0.1105O3,01201,5,1,5,0.17697001,11.797467,21.392,44.14201,0.8900030425259929,2.150007349922342,1.4900050936671116,137.3274694617607,1.8192249999999999,1.3721,0.7784625000000001,62.501328952499996,0.8023772570183588,0.48922098285038573,1.5669465417406472,1.914035799626972,2.19719279195051
Ba0.80785Co0.88425Fe0.0Y0.0Zr0.11575O3,01201,6,1,6,0.16772,12.591494,25.389999,44.14201,0.8900007941616522,2.150001918480396,1.4900013295515302,137.32712253914295,1.8163375,1.37315,0.77894375,62.67085567875,0.8078492791427885,0.48999747798063537,1.565744396810542,1.912848430392477,2.1912437775395954
Ba0.8068Co0.88688Fe0.0Y0.0Zr0.11312O3,01201,7,1,7,0.15514,13.489076,29.388,44.14201,0.8899968383439846,2.149992362291648,1.4899947068904908,137.3265121564768,1.8177839999999998,1.372624,0.7787026666666668,62.5859308616,0.8068028661046459,0.48960538674781195,1.566337440035762,1.9134321361304665,2.1942073923955068
Ba0.81308Co0.88729Fe0.0Y0.0Zr0.11271O3,01201,8,1,8,0.14202,14.573696,33.386002000000005,44.14201,0.8899990080172422,2.149997603637158,1.489998339264821,137.32684693706045,1.8180094999999998,1.372542,0.7786650833333334,62.57269163155,0.8130809062497076,0.4895458511175229,1.56643483670238,1.9135291554186433,2.1946769965672757
Ba0.81862Co0.88452Fe0.0Y0.0Zr0.11548O3,01201,9,1,9,0.12805,16.088099,37.383998999999996,44.14201,0.8899985439426048,2.149996482557978,1.4899975623308777,137.3267753303439,1.8164859999999998,1.373096,0.778919,62.6621371614,0.8186213392805112,0.48995618129873003,1.5658020142495337,1.9129043743070557,2.1915431160068617
Ba0.84033Co0.88793Fe0.0Y0.0Zr0.11207O3,01201,10,1,10,0.11479,16.786642,41.382011,44.14201,0.8900004566141262,2.1500011030565966,1.4900007644438742,137.32707045555966,1.8183614999999997,1.372414,0.7786064166666667,62.55202551635,0.8403295688692678,0.48945188105562415,1.5665834821392062,1.913676451348546,2.19540565348543
