Point	Row	Column	Co_at
1	1	1	0.49222967
2	1	2	0.49375522
3	1	3	0.49377474
4	1	4	0.49446931
5	1	5	0.49351415
6	1	6	0.48911962
7	1	7	0.49085358
8	1	8	0.48938486
9	1	9	0.48637086
10	1	10	0.48248279
11	1	11	0.48297331
12	2	1	0.47201279
13	2	2	0.47268841
14	2	3	0.47008732
15	2	4	0.47079569
16	2	5	0.47326705
17	2	6	0.47722977
18	2	7	0.4781929
19	2	8	0.47905892
20	2	9	0.48366302
21	2	10	0.47902617
22	2	11	0.47904721
23	3	1	0.46462265
24	3	2	0.46795022
25	3	3	0.4645656
26	3	4	0.46543086
27	3	5	0.46780819
28	3	6	0.47000375
29	3	7	0.47121617
30	3	8	0.47411337
31	3	9	0.47696349
32	3	10	0.47163594
33	3	11	0.47615287
34	4	1	0.46782246
35	4	2	0.46950161
36	4	3	0.46950808
37	4	4	0.47324389
38	4	5	0.47049314
39	4	6	0.47222915
40	4	7	0.47328404
41	4	8	0.47162312
42	4	9	0.47310522
43	4	10	0.47665817
44	4	11	0.48017469
