Point	Row	Column	PeakArea_110
1	1	1	8.7871113
2	1	2	9.126956
3	1	3	9.9667587
4	1	4	10.848111
5	1	5	11.797467
6	1	6	12.591494
7	1	7	13.489076
8	1	8	14.573696
9	1	9	16.088099
10	1	10	16.786642
11	1	11	18.797373
12	2	1	8.0571918
13	2	2	9.4008102
14	2	3	6.997448
15	2	4	3.7606788
16	2	5	
17	2	6	
18	2	7	
19	2	8	6.6224809
20	2	9	14.320086
21	2	10	14.588328
22	2	11	14.88732
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	3.246212
33	3	11	15.172872
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	7.8039756
40	4	7	8.9563808
41	4	8	
42	4	9	
43	4	10	9.4192543
44	4	11	15.395567
