FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01220,1,1,1,4.1168466,0.50022125,0.40088677,4397.2661,1484.4644,30.675602,37.825897,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,2,1,2,4.1246734,0.49597776,0.39146617,5100.5796,1778.3237,30.615966999999998,37.742611,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,3,1,3,4.1321125,0.52383018,0.37458158,4795.7788,2133.8301,30.559503999999997,37.655651,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,4,1,4,4.1377068,0.55288744,0.34876749,4654.1367,2587.2256,30.517179,37.59811,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,5,1,5,4.1412768,0.58843589,0.33303693,4474.9287,2820.7842,30.490231,37.562172,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,6,1,6,4.1441159,0.58419484,0.33735782,4447.3184,2882.8469,30.468836,37.541641,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,7,1,7,4.1454186,0.58514398,0.33528659,4437.8921,2852.2219,30.459026,37.526485,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,8,1,8,4.1465487,0.57594478,0.331586,4390.8726,2542.4241,30.450527,37.529408000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,9,1,9,4.1458426,0.54998875,0.3653281,4499.2119,2020.3398,30.455839,37.551903,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,10,1,10,4.1430631,0.5022939999999999,0.37832156,4732.4351,1372.8688,30.476765000000004,37.580193,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,11,1,11,4.1401267,0.46507508,0.42064409999999997,5050.5605,943.58691,30.498907,37.625469,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,12,2,1,4.132579799999999,0.50259852,0.36375862,5030.6504,2259.8945,30.55596,37.675391999999995,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,13,2,2,4.1396446000000005,0.54599804,0.34040129,4931.2583,2744.0898,30.502542,37.588734,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,14,2,3,4.146275,0.58286786,0.33456221,4703.0903,2991.5715,30.452585,37.52095,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,15,2,4,4.1500049,0.59448397,0.3159987,4668.1167,3288.8694,30.424553000000003,37.474594,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,16,2,5,4.153683200000001,0.60479355,0.31507191,4634.5791,3464.4346,30.396959000000003,37.44701,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,17,2,6,4.1560202,0.6148212,0.31697309,4583.4297,3356.3447,30.379454,37.421753,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,18,2,7,4.15839,0.60172015,0.32590407,4579.8765,3067.698,30.361727000000002,37.406566999999995,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,19,2,8,4.1588235000000005,0.59642458,0.32287079,4497.2783,2755.262,30.358484000000004,37.414352,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,20,2,9,4.1579123,0.55898744,0.34030196,4624.4458,2140.1775,30.365299,37.438976000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,21,2,10,4.157506,0.50373119,0.37158373,4885.7217,1360.7441,30.368336,37.466698,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,22,2,11,4.1562152,0.47041464,0.40796676,4876.9995,783.4093,30.377995000000002,37.488033,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,23,3,1,4.149826999999999,0.46282837,0.36814713,6098.4878,1486.2205,30.425888,37.497864,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,24,3,2,4.1540885,0.51570988,0.34314144,5338.7554,1988.142,30.393922999999997,37.449646,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,25,3,3,4.157443,0.55185032,0.34072277,5122.667,2290.3865,30.368807,37.413853,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,26,3,4,4.1599927,0.56722152,0.32516679,5031.3428,2435.4822,30.349745000000002,37.384289,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,27,3,5,4.1627383,0.57196891,0.3211942,5031.6084,2579.3096,30.329247,37.359566,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,28,3,6,4.1647887,0.58191216,0.32184732,4987.8247,2445.0911,30.313955,37.34663,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
Ba1.0O3,01220,29,3,7,4.165144000000001,0.57119554,0.33416709,5022.792,2175.8328,30.31131,37.348671,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,8_Feb_2017,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,400.0,20,1.0,SiO2,16,44,64,0,0,42,0,41.5,0,90,270,0,0,180,0
