FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba1.0O3,01243,1,1,1,4.1014113,0.51928127,0.45151868,1282.4353,329.9722,30.7939,37.965678999999994,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,2,1,2,4.107423799999999,0.47247702,,1487.4332,,30.747711,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,3,1,3,4.1060724,0.5012964,,1316.7155,,30.758081,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,4,1,4,4.101728,0.52945864,,1159.9692,,30.791468,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,5,1,5,4.102135700000001,0.52455723,,1088.3037,,30.788328000000003,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,6,1,6,4.0986257,0.52731419,,1082.774,,30.815351,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,7,1,7,4.0974336000000005,0.53058964,,1040.9563,,30.824539,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,8,1,8,4.0951972,0.55487359,,1015.0778,,30.841789000000002,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,9,1,9,4.0910354,0.5529470999999999,,1034.8616,,30.873946999999998,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,10,1,10,4.0772672,0.57958442,,1105.6187,,30.980814000000002,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,11,1,11,4.0700026,0.6634326,,904.21698,,31.037504,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,12,2,1,4.115158999999999,0.47317284,,1555.9171,,30.688488,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,13,2,2,4.1112142,0.50101954,0.66704047,1420.2161,321.6004,30.718662,37.91814,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,14,2,3,4.109767,0.52539814,0.58106792,1407.5410000000002,379.78726,30.729746000000002,37.898647,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,15,2,4,4.1090055,0.50210816,0.50302303,1420.2081,426.25928,30.735582,37.862621000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,16,2,5,4.109076,0.52364814,0.53626013,1506.4305,478.9093,30.735041,37.896076,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,17,2,6,4.1073623,0.51284176,0.47606191,1476.3849,470.70724,30.748182,37.913605,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,18,2,7,4.1070261,0.48376572,0.51371425,1539.4409,419.25574,30.750763,37.921673,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,19,2,8,4.105537399999999,0.49014771,0.60103291,1504.0836,377.15982,30.762186,37.884468,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
Ba1.0O3,01243,20,2,9,4.1047869,0.46818206,0.56095684,1459.7909,305.66787999999997,30.767952,38.002586,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
