Point	Row	Column	Frac_111
1	1	1	0.20464565
2	1	2	0
3	1	3	0
4	1	4	0
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0
9	1	9	0
10	1	10	0
11	1	11	0
12	2	1	0
13	2	2	0.18463507
14	2	3	0.21248882
15	2	4	0.23085123
16	2	5	0.24122283
17	2	6	0.24174882
18	2	7	0.21404833
19	2	8	0.20048432
20	2	9	0.17313793
21	2	10	0
22	2	11	0
23	3	1	0
24	3	2	0.27971464
25	3	3	0.29367432
26	3	4	0.26250908
27	3	5	0.27463552
28	3	6	0.25582466
29	3	7	0.24676925
30	3	8	0.21242663
31	3	9	0
32	3	10	0
33	3	11	0
34	4	1	0
35	4	2	0
36	4	3	0.44529808
37	4	4	0.41346276
38	4	5	0.43693277
39	4	6	0.39310855
40	4	7	0.37534562
41	4	8	0.31510127
42	4	9	0
43	4	10	0
44	4	11	0
