Point	Row	Column	MaxInt_111
1	1	1	329.9722
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	321.6004
14	2	3	379.78726
15	2	4	426.25928
16	2	5	478.9093
17	2	6	470.70724
18	2	7	419.25574
19	2	8	377.15982
20	2	9	305.66788
21	2	10	
22	2	11	
23	3	1	
24	3	2	372.84497
25	3	3	449.83514
26	3	4	431.91403
27	3	5	498.01999
28	3	6	479.58124
29	3	7	454.84003
30	3	8	369.10178
31	3	9	
32	3	10	
33	3	11	
34	4	1	
35	4	2	
36	4	3	315.53
37	4	4	383.37024
38	4	5	478.64105
39	4	6	459.15234
40	4	7	463.22656
41	4	8	369.2699
42	4	9	
43	4	10	
44	4	11	
