Point	Row	Column	FWHM_111
1	1	1	0.50738543
2	1	2	0.47318345
3	1	3	0.40579566
4	1	4	0.43620467
5	1	5	0.41047159
6	1	6	0.45481747
7	1	7	0.44896966
8	1	8	0.50497961
9	1	9	0.44938427
10	1	10	0.43757305
11	1	11	0.48593786
12	2	1	0.43672308
13	2	2	0.40887412
14	2	3	0.43574405
15	2	4	0.42473319
16	2	5	0.44011414
17	2	6	0.4347803
18	2	7	0.40020216
19	2	8	0.4089573
20	2	9	0.43353519
21	2	10	0.43111482
22	2	11	0.45194417
23	3	1	0.4255217
24	3	2	0.43995446
25	3	3	0.40838122
26	3	4	0.43334401
27	3	5	0.42614633
28	3	6	0.43771052
29	3	7	0.42088401
30	3	8	0.43635789
31	3	9	0.42379841
32	3	10	0.41714543
33	3	11	0.45215824
34	4	1	0.45102641
35	4	2	0.43857461
36	4	3	0.44528696
37	4	4	0.44529143
38	4	5	0.44651017
39	4	6	0.40642107
40	4	7	0.41533637
41	4	8	0.4388929
42	4	9	0.42030957
43	4	10	0.41944215
44	4	11	0.47396028
