Point	Row	Column	a_Ang
1	1	1	4.0836835
2	1	2	4.0864649
3	1	3	4.0962954
4	1	4	4.0962334
5	1	5	4.0981174
6	1	6	4.0909247
7	1	7	4.0905786
8	1	8	4.0918641
9	1	9	4.0928946
10	1	10	4.0946407
11	1	11	4.0995455
12	2	1	4.0973554
13	2	2	4.1030269
14	2	3	4.1020575
15	2	4	4.0994239
16	2	5	4.099844
17	2	6	4.1035233
18	2	7	4.1020713
19	2	8	4.102046
20	2	9	4.0996189
21	2	10	4.0999646
22	2	11	4.099925
23	3	1	4.1099968
24	3	2	4.1116676
25	3	3	4.1118908
26	3	4	4.1103635
27	3	5	4.11306
28	3	6	4.1142011
29	3	7	4.1133642
30	3	8	4.1124883
31	3	9	4.1098089
32	3	10	4.11168
33	3	11	4.112299
34	4	1	4.1162128
35	4	2	4.1171308
36	4	3	4.1189375
37	4	4	4.1208086
38	4	5	4.1233382
39	4	6	4.123558
40	4	7	4.12398
41	4	8	4.1240506
42	4	9	4.1240153
43	4	10	4.1242061
44	4	11	4.1239438
