FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01396,1,1,1,4.183141200000001,0.82446426,0.35534614,,6089.9048,1907.61,,30.177791999999997,37.062851,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,2,1,2,4.1850557,0.80534953,0.34997979,,6441.3804,2109.1099,,30.163658,37.064040999999996,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,3,1,3,4.1856384,0.79095685,0.35986513,,6757.6465,2240.6504,,30.159360999999997,37.076485,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,4,1,4,4.1858201,0.75173658,0.36093938,,7444.1094,1997.0376,,30.158021999999995,37.093472,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,5,1,5,4.1867642,0.7164191,0.36567143,0.64761829,8559.8975,1583.1907,363.20914,30.151058000000003,37.101757,43.053131,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,6,1,6,4.1867919,0.71322858,0.37810984,,8680.3301,1681.766,,30.150854,37.092583000000005,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,7,1,7,4.1862639999999995,0.75617057,0.35247681,,7440.8618,2303.6738,,30.154749,37.077446,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,8,1,8,4.184959399999999,0.77172863,0.35001394,,7101.3555,2331.7192,,30.16437,37.07679,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,9,1,9,4.1854439,0.77784234,0.36798793,,6819.2471,2180.6248,,30.160795,37.05682,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01396,10,1,10,4.1833982,0.81248689,0.35880476,,6182.1753,2040.5044,,30.175896,37.057514000000005,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,14_Dec_2017,Pulsed Laser Deposition,B12ZY82,758.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
