FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01402,1,1,1,4.206970200000001,0.59498537,0.35748255,4261.3081,1405.5687,0,30.002832,36.99176,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,2,1,2,4.207376999999999,0.5953805999999999,0.35582682,4678.3193,1530.5481,0,29.999863,36.983776,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,3,1,3,4.207910099999999,0.60685205,0.34585494,4941.8633,1636.4622,0,29.995974,36.982376,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,4,1,4,4.209219,0.62375528,0.34022024,4948.5146,2002.7345,0,29.986427000000003,36.970366999999996,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,5,1,5,4.2099085,0.61833394,0.33413497,5296.875,2026.4276,0,29.9814,36.960827,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,6,1,6,4.2094674,0.62406939,0.33509433,5194.645,2006.3878,0,29.984615,36.960640000000005,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,7,1,7,4.2089214,0.63661689,0.34356642,5013.0693,1926.4084,0,29.988596,36.963051,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,8,1,8,4.209619,0.62475854,0.34572679,4860.103,1883.0388,0,29.983511,36.955589,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,9,1,9,4.2100258,0.6159603,0.33660421,4669.6382,1829.1743,0,29.980545000000003,36.940521000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01402,10,1,10,4.2110057,0.61265016,0.32986408,4324.8862,1715.8773,0,29.973406,36.923598999999996,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,19_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,SiO2,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
