FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01403,1,1,1,4.1588192,0.68888283,,,1357.0111,,,0,30.358519,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,2,1,2,4.1565137000000005,0.61114389,,,1364.5968,,,0,30.375760999999997,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,3,1,3,4.1562281,0.59954649,,,1257.1627,,,0,30.377899,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,4,1,4,4.1562557,0.59835875,,,1210.803,,,0,30.377691,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,5,1,5,4.1569709999999995,0.63184124,,,1128.6674,,,0,30.372341,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,6,1,6,4.1574010999999995,0.60178429,,,1159.4113,,,0,30.369120000000002,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,7,1,7,4.1599374,0.65890223,,,1176.6484,,,0,30.350159,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,8,1,8,4.1732898,0.96186686,,,1187.8529,,,0,30.250731,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,9,1,9,,,,,,,,0,,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01403,10,1,10,4.2008429000000005,0.79172981,,0.62095183,3769.5142,,420.94122000000004,0,30.047625,,42.805523,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
