Point	Row	Column	FWHM_111
1	1	1	0.51485169
2	1	2	0.51711518
3	1	3	0.52628851
4	1	4	0.52894747
5	1	5	0.5200842
6	1	6	0.5107497
7	1	7	0.49913257
8	1	8	0.52190655
9	1	9	0.53110683
10	1	10	0.49888504
11	1	11	0.51987422
12	2	1	0.51390594
13	2	2	0.50659442
14	2	3	0.51093805
15	2	4	0.51158893
16	2	5	0.53920352
17	2	6	0.53260136
18	2	7	0.51273221
19	2	8	0.49700421
20	2	9	0.50500429
21	2	10	0.52095073
22	2	11	0.50436252
23	3	1	0.49629804
24	3	2	0.5049938
25	3	3	0.49975356
26	3	4	0.50632584
27	3	5	0.50805229
28	3	6	0.51361716
29	3	7	0.51362628
30	3	8	0.51591074
31	3	9	0.53024763
32	3	10	0.50797153
33	3	11	0.51416451
34	4	1	0.48763633
35	4	2	0.50063986
36	4	3	0.51756126
37	4	4	0.5080753
38	4	5	0.50654107
39	4	6	0.51016188
40	4	7	0.50055635
41	4	8	0.51226741
42	4	9	0.49600202
43	4	10	0.48898619
44	4	11	0.50327319
