Point	Row	Column	Frac_200
1	1	1	0.05406639
2	1	2	0.048541658
3	1	3	0
4	1	4	0
5	1	5	0
6	1	6	0
7	1	7	0.055995185
8	1	8	0
9	1	9	0
10	1	10	0.057745934
11	1	11	0.056876324
12	2	1	0.053415556
13	2	2	0
14	2	3	0
15	2	4	0
16	2	5	0.053740699
17	2	6	0
18	2	7	0
19	2	8	0
20	2	9	0
21	2	10	0
22	2	11	0
23	3	1	0
24	3	2	0
25	3	3	0
26	3	4	0.047709927
27	3	5	0.060100641
28	3	6	0
29	3	7	0.050200179
30	3	8	0.061090373
31	3	9	0
32	3	10	0
33	3	11	0.056724746
34	4	1	0
35	4	2	0.049793184
36	4	3	0
37	4	4	0
38	4	5	0
39	4	6	0
40	4	7	0
41	4	8	0.052418254
42	4	9	0.05197994
43	4	10	0
44	4	11	0
