Point	Row	Column	MaxInt_110
1	1	1	4831.3003
2	1	2	4944.811
3	1	3	4904.7134
4	1	4	4968.9434
5	1	5	4882.1758
6	1	6	4967.689
7	1	7	4904.4697
8	1	8	4932.3296
9	1	9	4854.6431
10	1	10	4851.7456
11	1	11	4873.6387
12	2	1	4924.7666
13	2	2	4934.9399
14	2	3	4930.106
15	2	4	4855.8535
16	2	5	4900.7241
17	2	6	4915.8735
18	2	7	4886.9692
19	2	8	4941.9634
20	2	9	4937.4429
21	2	10	4941.3638
22	2	11	4955.2271
23	3	1	5062.4814
24	3	2	4996.7251
25	3	3	4969.9189
26	3	4	4960.2192
27	3	5	4950.6377
28	3	6	5012.541
29	3	7	4955.3447
30	3	8	4953.3203
31	3	9	4975.2583
32	3	10	4995.3179
33	3	11	4953.623
34	4	1	5052.1992
35	4	2	5054.9888
36	4	3	5006.8721
37	4	4	5017.3916
38	4	5	4995.1616
39	4	6	4995.335
40	4	7	5029.2534
41	4	8	5000.1074
42	4	9	5002.3633
43	4	10	5058.1377
44	4	11	5000.8877
