Point	Row	Column	Pos_200
1	1	1	45.446358
2	1	2	45.484131
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	45.462177
8	1	8	
9	1	9	
10	1	10	45.47226
11	1	11	45.453762
12	2	1	45.482422
13	2	2	
14	2	3	
15	2	4	
16	2	5	45.460926
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	45.471306
27	3	5	45.482006
28	3	6	
29	3	7	45.456348
30	3	8	45.470745
31	3	9	
32	3	10	
33	3	11	45.467117
34	4	1	
35	4	2	45.46006
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	45.483292
42	4	9	45.478832
43	4	10	
44	4	11	
