Point	Row	Column	a_Ang
1	1	1	4.1448655
2	1	2	4.1448269
3	1	3	4.144515
4	1	4	4.144907
5	1	5	4.1448975
6	1	6	4.1450324
7	1	7	4.1449366
8	1	8	4.145205
9	1	9	4.1453981
10	1	10	4.1447635
11	1	11	4.1459169
12	2	1	4.1439281
13	2	2	4.1441083
14	2	3	4.1438413
15	2	4	4.1445904
16	2	5	4.1445189
17	2	6	4.1444697
18	2	7	4.1447878
19	2	8	4.1452155
20	2	9	4.1453528
21	2	10	4.1450043
22	2	11	4.1456885
23	3	1	4.1437974
24	3	2	4.1444473
25	3	3	4.1441469
26	3	4	4.1440668
27	3	5	4.1438775
28	3	6	4.1445704
29	3	7	4.1445913
30	3	8	4.144352
31	3	9	4.1445026
32	3	10	4.1448517
33	3	11	4.1446428
34	4	1	4.1442881
35	4	2	4.1441097
36	4	3	4.1439419
37	4	4	4.1442366
38	4	5	4.1444116
39	4	6	4.1449814
40	4	7	4.144876
41	4	8	4.1446538
42	4	9	4.1451101
43	4	10	4.1453109
44	4	11	4.1453838
