FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.84626Co0.04341Fe0.0Y0.0Zr0.95659O3,01026,1,1,1,,0.12657000000000002,,,,,,,,,,,5.4000001,44.14201,0.8900030198031766,2.1500072950301456,1.4900050556255429,137.32746595563015,1.3538755,1.5413180000000002,0.8560207500000001,89.82225615495001,0.8462571286180166,0.6573743448368603,1.3949148034540215,1.7406179179950283,1.5288801666118266,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.83506Co0.04611Fe0.0Y0.0Zr0.95389O3,01026,2,1,2,,0.13029000000000002,,,,,,,,,,,9.397999800000001,44.14201,0.8900033276478921,2.1500080386999643,1.4900055710060216,137.32751345606977,1.3553605000000002,1.540778,0.85577325,89.73507098145001,0.8350568777806078,0.6566543201221313,1.3954041651035802,1.7411219280411272,1.5303661317040473,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.81672Co0.04392Fe0.0Y0.0Zr0.95608O3,01026,3,1,3,,0.13122999999999999,,,,,,,,,,,13.39599,44.14201,0.889996123534329,2.149990635504278,1.4899935101866857,137.32640186134697,1.3541560000000001,1.541216,0.855974,89.80578784440002,0.8167235573043062,0.657233083584409,1.3949963116813464,1.740699495763523,1.5291486791395057,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.83414Co0.04297Fe0.0Y0.0Zr0.95703O3,01026,4,1,4,,0.13085,,,,,,,,,,,17.393998999999997,44.14201,0.8899978607200646,2.1499948320765605,1.489996418508872,137.32666990910596,1.3536335000000002,1.541406,0.8560610833333334,89.83646410915001,0.8341420050148928,0.6574880576759252,1.3948270812988663,1.7405258193809245,1.5286295077492813,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.85832Co0.04383Fe0.0Y0.0Zr0.95617O3,01026,5,1,5,,0.12777001,,,,,,,,,,,21.391991,44.14201,0.8899968815387054,2.1499924666384453,1.4899947792052484,137.32651882142224,1.3541065,1.541234,0.85598225,89.80869401685,0.8583230074686259,0.6572576688308529,1.3949812076806283,1.7406842013432504,1.5291004988409798,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.85507Co0.04498Fe0.0Y0.0Zr0.95502O3,01026,6,1,6,4.195682,0.12402,0.49047402,,0.66299158,688.51068,,409.9903,5.0388517,30.085455,,43.072933,25.391991,44.14201,0.8899979083977712,2.1499949472530426,1.4899964983288527,137.32667726577608,1.3547390000000001,1.541004,0.8558768333333333,89.7715595911,0.8550720095174393,0.6569515666100785,1.3951910230298186,1.7409006066046335,1.529734783391139,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.87799Co0.04971Fe0.0Y0.0Zr0.95029O3,01026,7,1,7,4.1811786,0.11627,0.4686988,,0.6833871,1399.7876,,520.5867900000001,8.1187086,30.192295,,43.195694,29.38802,44.14201,0.8900005057631097,2.1500012217872873,1.4900008467270038,137.32707803924782,1.3573405,1.540058,0.85544325,89.61882408345,0.8779895010621345,0.6556943565473142,1.39605211088627,1.7417880691992178,1.5323463507105777,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.86867Co0.04585Fe0.0Y0.0Zr0.95415O3,01026,8,1,8,4.175776,0.10822000000000001,0.43099141,,0.6682296999999999,1965.91,,453.65927,10.989908,30.232290000000003,,43.248622999999995,33.386009,44.14201,0.8900027374306597,2.1500066128942903,1.4900045828895314,137.3274223855508,1.3552175000000002,1.5408300000000001,0.8557970833333334,89.74346659075002,0.8686673281836211,0.6567231735353621,1.3953561475920706,1.7410722844321425,1.5302219493235547,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.88372Co0.0478Fe0.0Y0.0Zr0.9522O3,01026,9,1,9,4.1726155,0.098750003,0.42781705,,0.73933733,2196.9644,,457.8938,12.348073,30.255733000000003,,43.30611,37.384009999999996,44.14201,0.8899954340513208,2.149988969899258,1.4899923558836718,137.3262954741188,1.35629,1.54044,0.8556183333333334,89.680499521,0.8837245337537839,0.6561984782394036,1.395697962854287,1.7414217272308001,1.5312837931055663,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.87612Co0.0505Fe0.0Y0.0Zr0.9495O3,01026,10,1,10,4.1731839,0.089720003,0.43270135,,0.74426049,1970.1719,,429.34295999999995,12.887986,30.251516,,43.314285,41.381989000000004,44.14201,0.8899975266287619,2.1499940250020653,1.4899958591874778,137.32661835881797,1.3577750000000002,1.5399,0.8553708333333334,89.5933143475,0.8761224348045296,0.6554823344285774,1.396190677967443,1.7419297001056786,1.5327775220612754,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
